Hybridization REF	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05
cg21950493	0.0324709945247399	GPN3;C12orf24	12	110907285
cg21950518	0.031041342930689	IL6ST	5	55290746
cg21951612	0.93143844195143	MRAS	3	138092089
cg21954346	0.0245377295660942	ESRP2	16	68271489
cg21954994	0.0133285947383839	NA	NA	0
cg21955402	0.012207527562975	SMCR7	17	18163716
cg21958034	0.895886982463838	NA	NA	0
cg21958798	0.0307696805051109	GUCY1A2	11	106890084
cg21959619	0.196507517562267	FBXL6;GPR172A	8	145581006
cg21960110	0.833830214759051	HBZ	16	202482
cg21960882	0.897326006557165	NA	NA	0
cg21961766	0.826412444708019	PRRG2	19	50086378
cg21964481	0.8438968923181	SLC34A3	9	140125696
cg21965997	0.104356272093507	CALY	10	135150367
cg21966410	0.495648980997691	AR	X	66765882
cg21968169	0.0291463003554063	LOC338799;SETD1B	12	122241952
cg21968580	0.0272471152978177	DNAJB4	1	78470640
cg21968796	0.133939096066845	C21orf67;C21orf70	21	46358532
cg21969640	0.877583248100529	NA	NA	0
cg21970438	0.719069962477889	TTLL2	6	167738277
cg21972382	0.0374793198721147	CLIP4	2	29339076
cg21972430	0.0143776134587825	TPD52L1	6	125475126
cg21973276	0.0202633699215595	SMAD6	15	66994600
cg21973517	0.0155970357917076	VGLL4	3	11762253
cg21973800	0.0388604369718622	CINP;TECPR2	14	102829177
cg21974239	0.163978195130078	MAPK12	22	50700478
cg21974766	0.0167993554983491	CASD1	7	94138743
cg21974996	0.0498946036046354	C14orf156;ALKBH1	14	78174491
cg21975377	0.0207762492936218	FZD6	8	104311490
cg21978299	0.10441776466199	MCTS1	X	119737955
cg21979032	0.928608501454952	CYP8B1	3	42917517
cg21982518	0.0245530008295283	TMC7	16	18995173
cg21983579	0.0214394452594081	CAPNS1	19	36630882
cg21984310	0.0228819866861497	C9orf128;TMEM8B	9	35829279
cg21985356	0.0282462320730608	LOC728723;ZBED3	5	76383200
cg21985470	0.822037719886774	NA	NA	0
cg21988041	0.780654695061634	GLT8D2	12	104444060
cg21988465	0.801355990647	GNAS	20	57429277
cg21989094	0.0222045045851862	MRPS12;SARS2	19	39421295
cg21989500	0.0104139688003235	NDUFAB1	16	23607577
cg21991396	0.937167171093324	NLRP3	1	247581417
cg21991830	0.0195369331528265	RB1CC1	8	53626936
cg21992250	0.89325357393069	SLC15A3	11	60718709
cg21993406	0.0957904494647367	CENPH	5	68484783
cg21995126	0.0537404681598072	NA	NA	0
cg22001782	0.0424182218869195	BCL9	1	147013236
cg22004151	0.0177564126640778	PPP2R5D	6	42952586
cg22005565	0.89116240915375	SLFNL1	1	41487437
cg22006386	0.151502916471236	CATSPERG	19	38827378
cg22007326	0.0296737159457741	TMED2	12	124069649
cg22007439	0.00577331506563361	NA	NA	0
cg22009138	0.0734590990998867	ERBB2IP	5	65222522
cg22009489	0.0135374266791292	MYEOV2	2	241075960
cg22009923	0.510859416543427	CD151	11	832065
cg22010317	0.534790391715723	CXorf36	X	45060544
cg22012054	0.0347314442213426	ATP5B;SNORD59A	12	57039895
cg22012981	NA	ACOX2	3	58522689
cg22013966	NA	SERPINA13	14	95106170
cg22016571	0.575394002033315	MST4	X	131157426
cg22016649	0.0532458059429936	PNPLA2	11	818917
cg22016818	0.0183218904151501	TULP3	12	3000126
cg22017387	0.0489879023091215	VPS33B	15	91565357
cg22019980	0.0426724323991419	RNF146	6	127588823
cg22021786	0.894112567302171	WFDC8	20	44207288
cg22022041	NA	CCR9	3	45928137
cg22023770	0.152395821925962	C6orf114;GFOD1	6	13486545
cg22024281	0.0155085251252234	EXT1	8	119124108
cg22024657	0.902536567053861	SLC13A1	7	122839955
cg22024876	0.0722453755324221	KBTBD3;AASDHPPT	11	105948183
cg22025233	0.706601147403718	CYP2W1	7	1022904
cg22026853	0.0112069434563784	POU3F2	6	99282887
cg22029275	0.0548428874783115	FAM123A	13	25745784
cg22029504	0.0220594161310499	NA	NA	0
cg22030890	0.0309005577251646	RAB32	6	146865233
cg22031736	0.015580020212689	ANKRD54	22	38239648
cg22034555	0.0156392216384083	DHX36	3	154042159
cg22035229	0.474579523587668	MSH4	1	76262648
cg22036233	0.0401653846709348	ZFYVE26	14	68283005
cg22036988	0.0140498173602655	SPSB4	3	140770345
cg22037121	NA	UNC80	2	210635618
cg22037648	0.0185407602715454	SEMA3B	3	50311009
cg22037919	NA	CCM2	7	45038995
cg22038738	0.771617873666532	PLAT	8	42064673
cg22039287	0.460910023842624	RIT2	18	40696075
cg22039846	0.88043137986253	NA	NA	0
cg22040627	0.0165724500462767	SLC13A5	17	6617030
cg22041635	0.0365104395101739	HCN3	1	155247476
cg22041658	0.0105878093587289	POP4	19	30097344
cg22043361	0.0518384338354686	ZBTB1;ZBTB25	14	64970199
cg22044848	0.0435645986012684	RFTN1	3	16555311
cg22045288	0.815920757830017	C10orf91	10	134258421
cg22048492	0.0136737703755984	KAT5	11	65479309
cg22050705	0.0225158483945206	ZNF197	3	44666898
cg22050893	0.0682633126185879	MIR548N;FKBP7	2	179342982
cg22051636	NA	MRGPRX2	11	19081590
cg22051763	0.0274534476009452	UTP20	12	101673672
cg22051865	0.0213192615046619	ARHGEF17	11	73019002
cg22052955	0.0531325870302385	RARG	12	53625898
cg22054164	0.0875872069706524	ECE1	1	21617504
cg22054191	0.157401668281857	POU2F2	19	42637630
cg22055427	0.0117338047436907	P2RY1	3	152552440
cg22058458	0.0241222158902235	HMGN3	6	79944186
cg22059008	0.935621007023315	NA	NA	0
cg22061523	0.0319582190124039	AFMID;TK1	17	76183551
cg22062068	0.572670034257211	RBMXL2	11	7110074
cg22062239	0.0921025784437491	VKORC1	16	31106011
cg22063056	0.00476790368397502	CLCC1	1	109505929
cg22063653	0.0117326442969181	BPGM	7	134331376
cg22063989	0.015035918412733	RSPO1	1	38100795
cg22064129	NA	SLC14A2	18	43194482
cg22064451	0.458722111261384	TUBA1A	12	49583496
cg22064942	0.0382826257865847	SEC24B	4	110355472
cg22065439	0.0598926301257553	C5orf15	5	133304001
cg22065500	0.00813564153017337	TNPO3;LOC286016	7	128695353
cg22066521	0.72639484727072	ABCB5	7	20687223
cg22067472	0.0518429906077026	CYB5B	16	69458746
cg22068038	0.012721697228864	PARP16	15	65578960
cg22068211	0.895703865034895	C3orf27	3	128295141
cg22068473	0.0779939699585989	DDIT4	10	74033403
cg22068764	0.0148816460414512	GORAB	1	170501645
cg22074467	NA	AKR1C2	10	5060566
cg22074666	0.290586996841875	NA	NA	0
cg22074858	0.0484416706401228	GBP3	1	89488430
cg22077101	0.186820278085948	MRPL22	5	154320902
cg22077553	0.812578353646559	MYOC	1	171621732
cg22080282	0.0388491850694917	ZADH2	18	72920932
cg22081096	0.16109458798004	ABCA6	17	67137953
cg22082243	0.0323835916038708	C10orf84	10	120101750
cg22082462	0.75949440404638	CPNE6	14	24540415
cg22083047	0.703814327440248	PRICKLE2	3	64211464
cg22083639	0.0485936247034624	SLCO5A1	8	70747646
cg22083798	0.0714552786613629	IGFBP3	7	45961401
cg22084336	0.0219877102781409	UBP1	3	33482401
cg22084611	0.192263409245781	SULF2	20	46414934
cg22085335	0.0246047162410414	KCNF1	2	11052081
cg22088368	NA	C22orf33	22	37404888
cg22088594	0.0947998172308833	FAM48A	13	37634133
cg22090592	0.482864908401969	INF2	14	105174642
cg22091798	0.0325823341675397	UBXN1	11	62446605
cg22093158	0.0592803442155389	OSBP	11	59383768
cg22096513	NA	UBA2	19	34919002
cg22100821	NA	SCRT2	20	656743
cg22101098	0.289817880444581	SLC17A1	6	25830789
cg22101147	NA	TMEM110	3	52931946
cg22101336	0.0356027404345873	NA	NA	0
cg22103585	0.0394615079018673	CCNT1	12	49110427
cg22103999	0.0312128442051713	DNAJA3	16	4475555
cg22105022	0.792536316025539	SH2D3C	9	130508173
cg22105582	0.0233224712977552	RAB27B	18	52496070
cg22108175	0.0366260005488111	LPL	8	19796591
cg22108265	0.100022656015046	RAB6A	11	73471972
cg22110261	0.0595578673106644	NA	NA	0
cg22110492	0.303832859134922	ADAMTS13;REXO4	9	136283026
cg22111003	0.00837227795195797	ACSL3	2	223725731
cg22113807	NA	UBOX5;FASTKD5	20	3140865
cg22114222	0.00592105141145399	TIPARP;LOC100287227	3	156392417
cg22115808	0.00744287766831605	NUDT16L1	16	4743814
cg22116290	0.294525081127722	SMPD3	16	68481968
cg22117143	0.971637413330066	MPDZ	9	13251431
cg22120948	0.0248417111214297	GIT1	17	27915972
cg22122449	0.833935157466218	ACR	22	51176711
cg22123464	0.343372667582198	SLC8A2	19	47974901
cg22125370	0.754401376155765	SOCS2	12	93966485
cg22125922	0.0576525700891973	ZNF337	20	25677738
cg22126032	0.375658433434341	CAV1	7	116166529
cg22126266	0.0486382235217298	LHX4	1	180199560
cg22127491	0.0277864277387123	NDUFC1	4	140217063
cg22129364	0.0491469485310801	GPX7	1	53067894
cg22130834	0.00843722020864088	TTC22	1	55267046
cg22131172	0.0596733075282977	C13orf29	13	111522865
cg22131691	0.0478225344981742	PDE1C	7	32110988
cg22134325	0.813889146717005	NPAS4	11	66188745
cg22136326	0.0587633209612709	ARL2BP	16	57278759
cg22136365	0.109006450021066	TAT	16	71611043
cg22136753	0.0236087328459633	PET117	20	18118066
cg22138278	NA	MAF1;SHARPIN	8	145158307
cg22138461	0.0138716980754583	DCAF17;METTL8	2	172291219
cg22139563	NA	KRT38	17	39597813
cg22139878	0.0190176663608008	IFIT5	10	91174299
cg22140675	0.0397716546662859	G6PC3	17	42147960
cg22141781	0.0263042521789411	NDUFA12	12	95397704
cg22143352	0.899868387018051	JDP2	14	75897841
cg22148243	0.013822726506269	CXorf38	X	40506974
cg22148652	0.0258952089845741	ARL5A	2	152684540
cg22149792	0.654430764685316	NA	NA	0
cg22150335	0.763849815848532	ANK3	10	62148959
cg22151768	0.00999027995375452	FBXL14	12	1702874
cg22152192	0.605530322884602	CRYM;NCRNA00169	16	21315153
cg22152328	0.0134959223559092	MX1	21	42798386
cg22152667	0.979238891507993	OCM2	7	97619372
cg22153116	0.0168426717571982	TTC39B	9	15306736
cg22153481	0.0236967553095102	MLL2;PRKAG1	12	49412872
cg22153873	0.0385357584757596	BCL11A	2	60781524
cg22154562	0.00539181873652818	AGFG2	7	100136517
cg22155248	0.0279453943847759	TAPBPL;CD27;LOC678655	12	6560794
cg22156632	0.03352718914452	WNT6	2	219725069
cg22158923	0.695181367953285	C7orf52	7	100824169
cg22158956	0.010494728894182	UGDH	4	39529514
cg22161476	0.0372137611802103	FSTL5	4	163085081
cg22161874	NA	TRPM6	9	77503042
cg22165175	0.0312945261775458	KCNA2	1	111148915
cg22165507	0.0217451038190999	MGST3	1	165601007
cg22165685	0.0147133853232457	VENTX	10	135051292
cg22166290	0.0640971099679591	BCL11A	2	60780483
cg22168676	0.661026837844229		6	10060780
cg22169418	0.0216294352719643	TUT1	11	62359237
cg22170618	0.0211419850290957	CDK9	9	130548649
cg22171829	0.0393408246484888	PDK4	7	95225520
cg22172230	0.009522754197761	SWAP70	11	9685768
cg22172494	0.544650527836143	H19	11	2017362
cg22173227	0.928202375206515	NA	NA	0
cg22174355	0.966035599482864	DNAJC25;DNAJC25-GNG10	9	114413582
cg22175764	0.255360143806464		20	56803964
cg22175811	0.0331820654209869	TP53;WRAP53	17	7590052
cg22176017	0.204951882878323	POLR2G	11	62529460
cg22176097	0.0209544556734487	DHRS13	17	27229885
cg22176895	0.0172126665439576	PROX1	1	214162039
cg22177707	0.015494142437906	C4orf33;SCLT1	4	130014893
cg22178085	0.018403770698434	NDE1;MIR484;KIAA0430	16	15736658
cg22179082	0.0302717350616243	GPR12	13	27334259
cg22181664	0.665249727942527	CLCA1	1	86934325
cg22182110	0.0429471950067606	GOLGB1	3	121468645
cg22182666	0.863804838990704	BZRAP1	17	56405155
cg22182945	0.891368910865271	C4orf35	4	71200583
cg22182975	0.647982083211748	GPR31	6	167571172
cg22183626	0.0567504030791975	TSC22D1	13	45150990
cg22183706	0.651676168555571	CALCA	11	14993818
cg22183849	0.00641389574545969	DHX36	3	154042356
cg22184145	0.0794087830354252	POLR2B	4	57845401
cg22185378	0.985305975605068	MLXIPL	7	73039812
cg22186533	0.0369572631882802	EEF1D;TIGD5	8	144680410
cg22187094	0.0322417696990586	POLG	15	89878452
cg22187630	0.776349341319734	CACNA1A	19	13616871
cg22187826	0.0158691575574405	IQCB1;EAF2	3	121554169
cg22188058	0.0105001256628102	SDC4	20	43976933
cg22188495	0.0413175411428424	PRICKLE1	12	42984466
cg22189019	0.148773538580104	FGF22	19	640346
cg22189286	NA	HSPB8	12	119616193
cg22189519	0.878748263370723	NA	NA	0
cg22189618	0.52008907202526	FAM133A;NAP1L3	X	92928608
cg22189725	0.0264342580202561	ADC	1	33546525
cg22190090	0.0103088341107149	PIP4K2B	17	36955626
cg22190114	0.949524515275558	NLRP8	19	56459234
cg22190291	0.0116865394825699	NBPF3	1	21766732
cg22190705	0.0259061268000767	ASAP2	2	9346217
cg22190819	0.560847781177354	NA	NA	0
cg22190861	0.00885427111965497	GPR155	2	175351711
cg22192762	NA	PLXNC1	12	94542778
cg22193702	0.912309901472862	PADI1	1	17531433
cg22194129	NA	CLEC4C	12	7901661
cg22194305	0.0213432125830742	MXD4	4	2264032
cg22195268	NA	FAM104A;C17orf80	17	71227699
cg22197033	0.0802446273755771	CCDC42	17	8649004
cg22197708	0.880583516249649	MS4A2	11	59855616
cg22197787	0.0111012776369049	KCNH1	1	211306986
cg22197830	0.175260972706425	TXNDC15	5	134209784
cg22198425	0.0184795313603213	TCEB3	1	24070203
cg22198623	0.0816857870049392	MT1G	16	56701868
cg22199080	0.0484387627134654	AGAP2	12	58135833
cg22199118	NA	C8orf34	8	69350927
cg22199779	0.071335317767348	SMU1	9	33076800
cg22201387	0.00936405420848732	ENTPD5;C14orf45	14	74485554
cg22202141	0.854341014463456	NA	NA	0
cg22209624	0.007322033659972	SERTAD4;C1orf133	1	210406738
cg22211866	0.0560327683900466	HMG20A	15	77713084
cg22213042	0.862360853904648	CPA2	7	129906627
cg22214414	0.414111794185224	SYCP2	20	58507232
cg22215192	0.840145505056997	AMY2A	1	104160257
cg22215520	0.00811179701539306	PAIP1	5	43557435
cg22215728	0.0316967563168624	FHIT	3	61236652
cg22218909	0.932826995897434	NA	NA	0
cg22220722	0.929049667437731	PLA2G2A	1	20306641
cg22222251	0.640812111734761	NA	NA	0
cg22223602	0.0150020156349835	CBL	11	119077220
cg22224704	0.304003161429245	GSTP1	11	67352041
cg22226765	0.066852927248264	GGA3;MRPS7	17	73257283
cg22226839	0.243599093321034	ATP2B4	1	203596051
cg22227058	0.0146520727791843	SLU7	5	159846119
cg22227689	0.00918948553950018	NA	NA	0
cg22227965	NA	LMO7	13	76194354
cg22228134	NA	GZMH	14	25078609
cg22228205	0.0643369172159002	DDHD1	14	53620229
cg22228296	0.00825885187702871	RNF7	3	141457315
cg22229034	0.0115137387531175	DUSP1	5	172198031
cg22229142	0.339320994942564	KCTD17	22	37447306
cg22230395	0.0588635333645986	FAM114A2;MFAP3	5	153418202
cg22231902	0.0212490732381547	EN1	2	119604901
cg22232206	0.0195546237857705	SRF	6	43138185
cg22232859	0.966487481057521	HIATL1	9	97203278
cg22233974	0.366140608472155	MACF1	1	39546511
cg22234344	0.0173728532183976	HIBCH	2	191184810
cg22234962	0.53417371274556	RUSC1;C1orf104	1	155291297
cg22236626	0.0158723583389252	NENF	1	212606819
cg22238923	0.0592693979821853	LOXL3;DOK1	2	74781587
cg22241124	0.894907004106276	CNGA3	2	98986375
cg22242539	0.327549194704129	SERPINF1	17	1665220
cg22243662	0.0236173506056414	ATP6V1C2	2	10862305
cg22243733	0.803320838510907	OLFML1	11	7506434
cg22243844	0.0112585036803068	SEC23B	20	18488366
cg22244118	0.0477505341419494	TTK	6	80714048
cg22244122	0.0690560130841784	C9orf96;SURF4	9	136243698
cg22244418	0.393380784937805	OGFOD1;NUDT21	16	56484117
cg22247240	0.717344457495466	C14orf115	14	74815187
cg22248011	0.0174419287503987	TRAM2	6	52442381
cg22252999	0.110327893037588	ART3	4	76996414
cg22253036	0.0495343998748895	DDX6	11	118662786
cg22253945	0.826430304291392	GPR45	2	105858489
cg22254104	NA	LHX6	9	124991432
cg22255355	0.00858807526105505	ZSCAN22	19	58838374
cg22258437	0.0190749003954825	ID3	1	23886007
cg22262140	0.28599143360108	CCDC116	22	21986976
cg22262168	0.0401821016056217	MOBKL2B	9	27528999
cg22262549	0.0178304325129523	POLR3C;RNF115	1	145610689
cg22262964	0.133375859811387	NA	NA	0
cg22264436	0.237924777002974	SOST	17	41836423
cg22264946	0.0808356719547587	KIAA1009	6	84937441
cg22266967	0.12007833134582	S100P	4	6695698
cg22267176	0.00900736124693495	TCTE3;C6orf70	6	170152116
cg22268164	0.647082159178802	TRHR	8	110099750
cg22268231	0.0710883145689911	SPIB	19	50922484
cg22269180	0.759288649553416	NA	NA	0
cg22269795	0.0693613415117929	EFHD2	1	15735965
cg22271212	0.0655977776996211	TLE2	19	3028786
cg22272545	0.0443235030842424	STK17B	2	197036243
cg22274662	0.0623743884761306	ZNF746	7	149194095
cg22276571	0.127325460624235	DSTN	20	17549599
cg22281080	0.0601353515596801	PCYOX1L	5	148738020
cg22281207	0.0283768062731681	MAT2A	2	85765696
cg22282672	0.061319758007514	ZNF474	5	121465223
cg22282941	0.0793720054332061	HLA-DQA2	6	32709511
cg22283058	0.893595949335986	GPR37L1	1	202091175
cg22283148	0.0175733290081103	LSM6	4	147097443
cg22284302	NA	C1orf163	1	53163523
cg22284975	0.0185562317572983	C7orf10;C7orf11	7	40174843
cg22285621	0.0870750247848736	SSH3	11	67071322
cg22285897	0.0300361028112312	LONP2	16	48278073
cg22286764	0.949127918220973		3	37428639
cg22289115	0.968181744587995	MUPCDH	11	625796
cg22289360	0.123825686407197	GCNT1	9	79073908
cg22289810	0.0465254381772024	NF1	17	29421607
cg22289837	0.841797506932617	CA3	8	86350278
cg22290566	0.90521978124545	LMAN1L	15	75105286
cg22294577	NA	SLC26A3	7	107444728
cg22294908	0.9117237718581	ZHX3	20	39928631
cg22295573	0.959382545230685	C18orf16;AQP4	18	24446948
cg22296149	0.223560449302007	AMH	19	2249330
cg22297305	0.0213307338023403	PRODH	22	18923471
cg22298088	0.976434768174263	BLCAP;NNAT	20	36148860
cg22298208	0.951098664967908	C7orf34	7	142635611
cg22303211	0.354453932111176	NA	NA	0
cg22305782	0.985819190991833	FBXL19	16	30937214
cg22307649	0.0256842855962	TRAPPC4;RPS25	11	118889171
cg22307908	NA	ZNF264	19	57702927
cg22308759	0.0108498908914215	VEZF1	17	56064928
cg22309489	NA	OSGIN1	16	83982696
cg22309826	0.010527435240206	COPS3	17	17184440
cg22311533	0.900097390125932	GDF9	5	132200008
cg22313024	NA	UQCRB	8	97248069
cg22313025	0.101963940198479	HACE1	6	105307096
cg22315542	0.119516763289167	LCORL	4	18024261
cg22318304	0.110646836960848	SIAE;SPA17	11	124543788
cg22318989	NA	NPR1	1	153650317
cg22319147	0.130239303980428	CDH5	16	66400599
cg22319470	NA	HDAC11	3	13521370
cg22320000	0.158411932147967	HNRNPU	1	245027629
cg22321558	0.0315598868531022	TMEM150A	2	85829320
cg22322184	0.766181600985262	RETN	19	7734203
cg22324153	0.925080860200196	NA	NA	0
cg22325572	0.569612006435114	CD53	1	111416181
cg22325646	0.0214619946661002	RND2	17	41176469
cg22325703	0.015256956157982	GPR83	11	94134235
cg22325715	0.968990457149016	CNTD1;CCDC56	17	40951156
cg22325823	NA	RAB37	17	72667062
cg22328890	0.0148776902688464	SLC7A6	16	68298258
cg22332306	NA	C3orf63	3	56698168
cg22333016	0.012927977996664	FIP1L1	4	54244258
cg22333868	0.753744105477503	SYT1	12	79611355
cg22333888	0.682530553767747	ADAM33	20	3663421
cg22334000	0.0851096399168246	C4orf22	4	81256999
cg22334665	0.0158710952933817	SLC22A16	6	110797497
cg22335340	0.866299319054745	PTPN6;C12orf57	12	7055153
cg22335801	0.477317978548087	TNFRSF4	1	1149091
cg22336401	0.0720235818428686	ENTPD8	9	140336227
cg22336633	0.0277541692527787	RPS13	11	17099688
cg22337624	0.19640302955793	TXNL4B;DHX38	16	72126421
cg22338307	NA	TPRKB	2	73964768
cg22339278	0.0370597160644127	KIRREL2	19	36347276
cg22339744	0.0217556766082669	NACC1	19	13229426
cg22340747	NA		15	45683210
cg22341104	0.472570144928501	GFI1	1	92952261
cg22341310	0.838041532658269	ZNF541	19	48048583
cg22343001	0.120931008595182	ARMCX2	X	100914848
cg22344641	0.124889380602597	COQ4;TRUB2	9	131084554
cg22346765	NA	UNC5CL	6	41007522
cg22349489	0.0160245581469656	HIST1H2BK;HIST1H2AH	6	27114943
cg22354595	0.419491891960071	MIMT1;PEG3;ZIM2	19	57351440
cg22356117	NA	LAMP3	3	182881427
cg22359217	0.0184606710972176	FBXO4	5	41925772
cg22359606	0.86285858854138	NEUROD1	2	182545492
cg22362636	0.0367869532757092	TNIP2	4	2758447
cg22366626	0.044820422944139	ZFYVE20	3	15140889
cg22367264	0.873488502269803		12	80749665
cg22367970	0.109739538243868	GON4L	1	155826954
cg22367989	0.0404792732642217	NRP2	2	206546660
cg22368262	0.0247534630285329	C10orf35	10	71390173
cg22368307	0.0440032677715131	SNORD15A;RPS3	11	75110460
cg22369818	0.0215431422662769	GABPB1;FLJ10038;LOC100129387	15	50647822
cg22370370	0.0143991712848867	ZNF652	17	47439802
cg22373097	NA	KRTAP21-1	21	32129060
cg22373112	0.13534850386039	RAB5C	17	40307717
cg22374142	0.130375117531936	NA	NA	0
cg22374901	0.0170136987201565	TESC	12	117537411
cg22375192	0.0106406893070086	IGF1R	15	99193466
cg22375610	0.697180850572325	APOBEC2	6	41021161
cg22376897	0.793054134927037	ARSE	X	2882183
cg22377142	0.0298811716961301	C1orf85	1	156265275
cg22377237	0.0501259193358024	GNB2	7	100271437
cg22377389	0.777251404966419	GJB6	13	20805679
cg22377428	0.8675681305327	NA	NA	0
cg22377963	NA	BCL7C	16	30905861
cg22377998	0.0096642801143599	ARVCF	22	20004881
cg22378065	0.489575437737305	HYMAI;PLAGL1	6	144329172
cg22379207	0.0202668072659469	ZNF790	19	37329274
cg22380033	0.0164909755203012	GRB14	2	165477918
cg22381196	0.976412187059621	DHODH	16	72041376
cg22381955	0.973278252462571	CHFR	12	133429949
cg22384366	0.0354380511501795	PIK3CA	3	178867004
cg22385477	0.0862943887080295	CCDC110	4	186392754
cg22385764	0.0354711479889652	ASB8	12	48551594
cg22386311	0.839649778775095	DSG1	18	28898907
cg22386774	0.743522797374707	CRYGA	2	209029690
cg22387994	0.0190817525786324	NAPA	19	48018200
cg22388943	0.00880276064643818	EIF5	14	103799756
cg22391400	0.0124409987507809	SLK	10	105727767
cg22392276	0.100887411857799	CKB	14	103988476
cg22392666	0.101299161758066	FXYD7	19	35634167
cg22392708	0.0717056027135681	KRT23	17	39093770
cg22395019	0.0196940021813253	GALNT14	2	31361692
cg22395192	0.01095027905775	FAM46B	1	27339435
cg22396129	0.513466334440903	NA	NA	0
cg22396353	0.00918848546023159	GTSE1;CN5H6.4	22	46692687
cg22396691	0.0240121463450959	MRPS25	3	15106968
cg22396755	0.0180855333523303	RAP1GAP	1	21995097
cg22397447	0.0157627481752515	ALDH1B1	9	38392975
cg22397854	NA	OSCP1	1	36916501
cg22398616	0.642710587004396	LECT1	13	53314203
cg22401066	0.016068602036879	SMPDL3A	6	123110741
cg22402007	0.0905616122919014	NTRK2	9	87282823
cg22403851	0.0124292563838212	PDIA6	2	10952734
cg22404646	0.00842360745314889	CD151	11	833345
cg22405555	NA	ALG12;CRELD2	22	50311792
cg22406518	0.144352199524726	AMOTL2	3	134093627
cg22407458	0.866052652159799	TCP11	6	35109121
cg22407504	0.907023803660782	MUC5B	11	1243090
cg22407574	0.0648506136546184	DONSON	21	34960583
cg22409223	0.0360687472445176	PIK3R4	3	130465572
cg22409383	0.0158806427056962	MATR3;SNHG4	5	138609379
cg22411068	0.0171923982961419	ROPN1L	5	10442103
cg22411207	0.735054695838057	MOS	8	57026301
cg22412741	NA	GLTSCR1	19	48182221
cg22415432	0.556511311856586	NA	NA	0
cg22415472	0.891654245519365	SLC5A7	2	108602361
cg22416721	0.334358453300669	DMP1	4	88570574
cg22417398	0.0399285348970548	SCYL1	11	65293094
cg22417789	0.0112343623769146	SPRY2	13	80915465
cg22418360	0.0549468607736227	UBE2F	2	238876345
cg22418909	0.0233313103990116	SFRP1	8	41166738
cg22419075	0.0161269746893221	DPP7	9	140008995
cg22419732	0.735170898968127	NA	NA	0
cg22421699	0.109337696976297	SMPDL3B	1	28261367
cg22421766	NA	SCNN1D	1	1217658
cg22424108	0.0208243737087195	SLC44A3	1	95285531
cg22424444	NA	LOC255512;TOLLIP	11	1331736
cg22424746	0.111628963862404	VTCN1	1	117753313
cg22425806	0.0294802372337972	TGFA	2	70781576
cg22427279	NA	NHLH2	1	116384534
cg22428102	0.00804975845399041	WWC2;C4orf38	4	184020710
cg22429822	0.00609825252614979	RAB3B	1	52456361
cg22430790	0.102143037155547	FRMD6	14	52117833
cg22432269	0.00902858334519301	CYFIP1	15	22892697
cg22432367	0.0302911528523507	ARID1B	6	157098650
cg22432908	0.925766581742524	NA	NA	0
cg22436229	0.0514381826629824	PDIK1L	1	26437241
cg22436411	0.944816952692539	NA	NA	0
cg22437284	NA	SRC	20	35972536
cg22437699	0.842708348838411	ARX	X	25033358
cg22438324	0.0327058990727467	APEX1;OSGEP	14	20922915
cg22438810	0.120038785661348	LCN2	9	130911792
cg22441882	0.0817122081727636	SLC18A1	8	20040654
cg22442090	0.566204569871894	GIMAP5	7	150434077
cg22442730	0.0524197914566466	SRMS	20	62179233
cg22443330	0.0763269728162464	MTMR15	15	31196599
cg22444610	NA	KCTD18	2	201375087
cg22445920	0.903627406941206	SLC36A3	5	150683178
cg22448677	0.0131774275955135	RNF6	13	26796711
cg22449114	0.857903827126993	TCF15	20	590243
cg22449795	0.00596007842980287	USP30	12	109490720
cg22451189	0.0172424504945463	MRPS22	3	139062925
cg22456522	0.363977805599766	NA	NA	0
cg22458065	0.889094470924068	PSORS1C2	6	31108108
cg22458082	0.870957827082125	NA	NA	0
cg22459146	0.801917888436859	GHSR	3	172167030
cg22459359	0.00647340777854118	ZMYM6	1	35497285
cg22459930	0.0204199250059694	TXNDC17;KIAA0753	17	6544061
cg22461018	0.871818154204026	MORF4	4	174538011
cg22461615	0.0105526294857777	THAP9	4	83821917
cg22461835	0.64239030706947	ADRA1A	8	26723365
cg22462235	0.857079908707921	LEFTY2	1	226129481
cg22463915	0.816331401873402	EEF1A2	20	62131260
cg22464182	0.165694472117412	ACVR2A	2	148602625
cg22464186	0.0651986979720282	TNFRSF21	6	47277552
cg22464423	0.021453776556156	CADM4	19	44144337
cg22467071	0.64334769297557	NA	NA	0
cg22467216	0.0159007142857072	TUBB6	18	12308812
cg22467534	0.0336242848372039	UNC13D	17	73841658
cg22467567	0.0316976574702566	IGFBP5	2	217559885
cg22468055	0.0906407858054284	PARP15	3	122334227
cg22468123	0.00939199251037386	NAT14	19	55996652
cg22468803	0.267722743597627	ANKRD12	18	9136381
cg22469141	0.0156752066486207	MIR639;TECR	19	14640373
cg22469841	0.0606570555557916	FSTL1	3	120169368
cg22470827	0.0101608826596941	CHMP2B	3	87276743
cg22471346	0.0100516954449395	NA	NA	0
cg22472290	0.038472118193217	ZNF577	19	52391480
cg22473095	0.021600594507393	RBBP9	20	18477967
cg22473973	0.178270564481434	BNIP3	10	133794911
