Hybridization REF	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05
cg22148652	0.0179008941323235	ARL5A	2	152684540
cg22149792	0.53573926163182	NA	NA	0
cg22150335	0.874826925397379	ANK3	10	62148959
cg22151768	0.00987062657472523	FBXL14	12	1702874
cg22152192	0.910368754167809	CRYM;NCRNA00169	16	21315153
cg22152328	0.0120058497329365	MX1	21	42798386
cg22152667	0.961094886536141	OCM2	7	97619372
cg22153116	0.0146174623460125	TTC39B	9	15306736
cg22153481	0.0132590412678814	MLL2;PRKAG1	12	49412872
cg22153873	0.0333918184312918	BCL11A	2	60781524
cg22154562	0.00951716824642296	AGFG2	7	100136517
cg22155248	0.0320391541530696	TAPBPL;CD27;LOC678655	12	6560794
cg22156632	0.121133525457899	WNT6	2	219725069
cg22158923	0.390986413368023	C7orf52	7	100824169
cg22158956	0.0165180462459142	UGDH	4	39529514
cg22161476	0.0202053458734634	FSTL5	4	163085081
cg22161874	NA	TRPM6	9	77503042
cg22165175	0.597311912834638	KCNA2	1	111148915
cg22165507	0.0210387028001769	MGST3	1	165601007
cg22165685	0.212523783460713	VENTX	10	135051292
cg22166290	0.373722084078031	BCL11A	2	60780483
cg22168676	0.612185221974088		6	10060780
cg22169418	0.0227356625615484	TUT1	11	62359237
cg22170618	0.0273025601882337	CDK9	9	130548649
cg22171829	0.108376173348094	PDK4	7	95225520
cg22172230	0.0102971712042482	SWAP70	11	9685768
cg22172494	0.739848481280736	H19	11	2017362
cg22173227	0.913729608449783	NA	NA	0
cg22174355	0.963359049524912	DNAJC25;DNAJC25-GNG10	9	114413582
cg22175764	0.022266123785534		20	56803964
cg22175811	0.0212298071689758	TP53;WRAP53	17	7590052
cg22176017	0.0375716740166929	POLR2G	11	62529460
cg22176097	0.0122787687179307	DHRS13	17	27229885
cg22176895	0.0262998823885448	PROX1	1	214162039
cg22177707	0.0140034519117489	C4orf33;SCLT1	4	130014893
cg22178085	0.0158708746944968	NDE1;MIR484;KIAA0430	16	15736658
cg22179082	0.0557416201872751	GPR12	13	27334259
cg22181664	0.486600243319632	CLCA1	1	86934325
cg22182110	0.0621217848825117	GOLGB1	3	121468645
cg22182666	0.787270072253844	BZRAP1	17	56405155
cg22182945	0.813463350625523	C4orf35	4	71200583
cg22182975	0.644845795180434	GPR31	6	167571172
cg22183626	0.0546944826144017	TSC22D1	13	45150990
cg22183706	0.0582483337471582	CALCA	11	14993818
cg22183849	0.0146258705527471	DHX36	3	154042356
cg22184145	0.0251072117778991	POLR2B	4	57845401
cg22185378	0.984327353283586	MLXIPL	7	73039812
cg22186533	0.0477583430659822	EEF1D;TIGD5	8	144680410
cg22187094	0.016095548398136	POLG	15	89878452
cg22187630	0.395525512537199	CACNA1A	19	13616871
cg22187826	0.0123551574547901	IQCB1;EAF2	3	121554169
cg22188058	0.0197928833097237	SDC4	20	43976933
cg22188495	0.0312265754420734	PRICKLE1	12	42984466
cg22189019	0.432723930844944	FGF22	19	640346
cg22189286	NA	HSPB8	12	119616193
cg22189519	0.865371007307058	NA	NA	0
cg22189618	0.0152286627240941	FAM133A;NAP1L3	X	92928608
cg22189725	0.0292090437302171	ADC	1	33546525
cg22190090	0.0119511775480345	PIP4K2B	17	36955626
cg22190114	0.79055719732022	NLRP8	19	56459234
cg22190291	0.0160005750881411	NBPF3	1	21766732
cg22190705	0.107790047514147	ASAP2	2	9346217
cg22190819	0.598021917230576	NA	NA	0
cg22190861	0.0113825630048027	GPR155	2	175351711
cg22192762	NA	PLXNC1	12	94542778
cg22193702	0.852603109301649	PADI1	1	17531433
cg22194129	NA	CLEC4C	12	7901661
cg22194305	0.0196605520958485	MXD4	4	2264032
cg22195268	NA	FAM104A;C17orf80	17	71227699
cg22197033	0.0112525642772196	CCDC42	17	8649004
cg22197708	0.785965640974787	MS4A2	11	59855616
cg22197787	0.0141864364348006	KCNH1	1	211306986
cg22197830	0.628034509424418	TXNDC15	5	134209784
cg22198425	0.0199652123771334	TCEB3	1	24070203
cg22198623	0.367755797611923	MT1G	16	56701868
cg22199080	0.0825725992406548	AGAP2	12	58135833
cg22199118	NA	C8orf34	8	69350927
cg22199779	0.0248233176707953	SMU1	9	33076800
cg22201387	0.0170384695385961	ENTPD5;C14orf45	14	74485554
cg22202141	0.804888466381672	NA	NA	0
cg22209624	0.0102074778260416	SERTAD4;C1orf133	1	210406738
cg22211866	0.0723855591767687	HMG20A	15	77713084
cg22213042	0.761493348589803	CPA2	7	129906627
cg22214414	0.519610708686105	SYCP2	20	58507232
cg22215192	0.514821595301883	AMY2A	1	104160257
cg22215520	0.0119991125301645	PAIP1	5	43557435
cg22215728	0.0617922770193024	FHIT	3	61236652
cg22218909	0.883513445663473	NA	NA	0
cg22220722	0.756863739427925	PLA2G2A	1	20306641
cg22222251	0.591247887801499	NA	NA	0
cg22223602	0.0166369143334419	CBL	11	119077220
cg22224704	0.257571601130352	GSTP1	11	67352041
cg22226765	0.0224001495994417	GGA3;MRPS7	17	73257283
cg22226839	0.187272391073951	ATP2B4	1	203596051
cg22227058	0.015991035057141	SLU7	5	159846119
cg22227689	0.0134978331230299	NA	NA	0
cg22227965	NA	LMO7	13	76194354
cg22228134	NA	GZMH	14	25078609
cg22228205	0.0536892429051485	DDHD1	14	53620229
cg22228296	0.0118450223244836	RNF7	3	141457315
cg22229034	0.0108251649329304	DUSP1	5	172198031
cg22229142	0.367421002445496	KCTD17	22	37447306
cg22230395	0.0193746948235585	FAM114A2;MFAP3	5	153418202
cg22231902	0.0227759108973132	EN1	2	119604901
cg22232206	0.037918389714978	SRF	6	43138185
cg22232859	0.973582591350033	HIATL1	9	97203278
cg22233974	0.490005659137247	MACF1	1	39546511
cg22234344	0.0202943281147049	HIBCH	2	191184810
cg22234962	0.118141501368329	RUSC1;C1orf104	1	155291297
cg22236626	0.0340361581161199	NENF	1	212606819
cg22238923	0.0211373746967021	LOXL3;DOK1	2	74781587
cg22241124	0.767637854256939	CNGA3	2	98986375
cg22242539	0.517572176155997	SERPINF1	17	1665220
cg22243662	0.0148887888899973	ATP6V1C2	2	10862305
cg22243733	0.734642319700556	OLFML1	11	7506434
cg22243844	0.0169012420405678	SEC23B	20	18488366
cg22244118	0.0270048319481474	TTK	6	80714048
cg22244122	0.190094788288748	C9orf96;SURF4	9	136243698
cg22244418	0.506655850520096	OGFOD1;NUDT21	16	56484117
cg22247240	0.810931522144858	C14orf115	14	74815187
cg22248011	0.0170892380522403	TRAM2	6	52442381
cg22252999	0.729552423416518	ART3	4	76996414
cg22253036	0.0327897430596177	DDX6	11	118662786
cg22253945	0.676894485913062	GPR45	2	105858489
cg22254104	NA	LHX6	9	124991432
cg22255355	0.0162319730713055	ZSCAN22	19	58838374
cg22258437	0.0120379389635956	ID3	1	23886007
cg22262140	0.414883024263126	CCDC116	22	21986976
cg22262168	0.0181147247391171	MOBKL2B	9	27528999
cg22262549	0.0260976269456067	POLR3C;RNF115	1	145610689
cg22262964	0.299486602086089	NA	NA	0
cg22264436	0.767424047434598	SOST	17	41836423
cg22264946	0.00728671043507519	KIAA1009	6	84937441
cg22266967	0.759053307964467	S100P	4	6695698
cg22267176	0.00692334329690889	TCTE3;C6orf70	6	170152116
cg22268164	0.700879009665904	TRHR	8	110099750
cg22268231	0.20311223532643	SPIB	19	50922484
cg22269180	0.769548917044446	NA	NA	0
cg22269795	0.0118371376331864	EFHD2	1	15735965
cg22271212	0.114686938969963	TLE2	19	3028786
cg22272545	0.0213991585842386	STK17B	2	197036243
cg22274662	0.0147046403353915	ZNF746	7	149194095
cg22276571	0.0362408252035643	DSTN	20	17549599
cg22281080	0.028130987165609	PCYOX1L	5	148738020
cg22281207	0.0199830334052001	MAT2A	2	85765696
cg22282672	0.0584921626320769	ZNF474	5	121465223
cg22282941	0.176224323688507	HLA-DQA2	6	32709511
cg22283058	0.737974271075894	GPR37L1	1	202091175
cg22283148	0.0193090430563774	LSM6	4	147097443
cg22284302	NA	C1orf163	1	53163523
cg22284975	0.0803466696359912	C7orf10;C7orf11	7	40174843
cg22285621	0.247049806644753	SSH3	11	67071322
cg22285897	0.0205083808627565	LONP2	16	48278073
cg22286764	0.909876361920124		3	37428639
cg22289115	0.869761032217771	MUPCDH	11	625796
cg22289360	0.0174779816109824	GCNT1	9	79073908
cg22289810	0.0311684149888094	NF1	17	29421607
cg22289837	0.583500992386285	CA3	8	86350278
cg22290566	0.749959650006256	LMAN1L	15	75105286
cg22294577	NA	SLC26A3	7	107444728
cg22294908	0.550808692923074	ZHX3	20	39928631
cg22295573	0.935598356815735	C18orf16;AQP4	18	24446948
cg22296149	0.53534415578065	AMH	19	2249330
cg22297305	0.0127040625887229	PRODH	22	18923471
cg22298088	0.489638599354832	BLCAP;NNAT	20	36148860
cg22298208	0.936156067999332	C7orf34	7	142635611
cg22303211	0.431671853044502	NA	NA	0
cg22305782	0.977951516991594	FBXL19	16	30937214
cg22307649	0.0304380996226955	TRAPPC4;RPS25	11	118889171
cg22307908	NA	ZNF264	19	57702927
cg22308759	0.0170280050511069	VEZF1	17	56064928
cg22309489	NA	OSGIN1	16	83982696
cg22309826	0.011007144697924	COPS3	17	17184440
cg22311533	0.880698321882158	GDF9	5	132200008
cg22313024	NA	UQCRB	8	97248069
cg22313025	0.045399907913852	HACE1	6	105307096
cg22315542	0.0286098290099679	LCORL	4	18024261
cg22318304	0.0539949950204255	SIAE;SPA17	11	124543788
cg22318989	NA	NPR1	1	153650317
cg22319147	0.663754890559899	CDH5	16	66400599
cg22319470	NA	HDAC11	3	13521370
cg22320000	0.0241206488683626	HNRNPU	1	245027629
cg22321558	0.021724906756956	TMEM150A	2	85829320
cg22322184	0.764547059585954	RETN	19	7734203
cg22324153	0.75600893889826	NA	NA	0
cg22325572	0.478126281046819	CD53	1	111416181
cg22325646	0.0677159295785874	RND2	17	41176469
cg22325703	0.0316441745719761	GPR83	11	94134235
cg22325715	0.968305931298932	CNTD1;CCDC56	17	40951156
cg22325823	NA	RAB37	17	72667062
cg22328890	0.0187732437234796	SLC7A6	16	68298258
cg22332306	NA	C3orf63	3	56698168
cg22333016	0.015906024139281	FIP1L1	4	54244258
cg22333868	0.775316499245154	SYT1	12	79611355
cg22333888	0.572676381922212	ADAM33	20	3663421
cg22334000	0.0874758655502066	C4orf22	4	81256999
cg22334665	0.0242513551973739	SLC22A16	6	110797497
cg22335340	0.492919088013047	PTPN6;C12orf57	12	7055153
cg22335801	0.132064028574793	TNFRSF4	1	1149091
cg22336401	0.0216900090560055	ENTPD8	9	140336227
cg22336633	0.0203912060147166	RPS13	11	17099688
cg22337624	0.324981437596082	TXNL4B;DHX38	16	72126421
cg22338307	NA	TPRKB	2	73964768
cg22339278	0.0650107071405838	KIRREL2	19	36347276
cg22339744	0.0276904483936439	NACC1	19	13229426
cg22340747	NA		15	45683210
cg22341104	0.0294850488583042	GFI1	1	92952261
cg22341310	0.655027739643811	ZNF541	19	48048583
cg22343001	0.380225212582764	ARMCX2	X	100914848
cg22344641	0.0420368181196895	COQ4;TRUB2	9	131084554
cg22346765	NA	UNC5CL	6	41007522
cg22349489	0.0235313467414611	HIST1H2BK;HIST1H2AH	6	27114943
cg22354595	0.610119406195824	MIMT1;PEG3;ZIM2	19	57351440
cg22356117	NA	LAMP3	3	182881427
cg22359217	0.0148317454745923	FBXO4	5	41925772
cg22359606	0.0778867288828855	NEUROD1	2	182545492
cg22362636	0.0569932761354288	TNIP2	4	2758447
cg22366626	0.0162520775780518	ZFYVE20	3	15140889
cg22367264	0.881419073844962		12	80749665
cg22367970	0.0879965915789805	GON4L	1	155826954
cg22367989	0.0285092398005659	NRP2	2	206546660
cg22368262	0.0358718850953833	C10orf35	10	71390173
cg22368307	0.0420032527114146	SNORD15A;RPS3	11	75110460
cg22369818	0.0154498549952663	GABPB1;FLJ10038;LOC100129387	15	50647822
cg22370370	0.0168583453982404	ZNF652	17	47439802
cg22373097	NA	KRTAP21-1	21	32129060
cg22373112	0.408955941420158	RAB5C	17	40307717
cg22374142	0.126411020240013	NA	NA	0
cg22374901	0.0475820156293969	TESC	12	117537411
cg22375192	0.0354277198140957	IGF1R	15	99193466
cg22375610	0.537832924654566	APOBEC2	6	41021161
cg22376897	0.747363287171283	ARSE	X	2882183
cg22377142	0.0247539551706206	C1orf85	1	156265275
cg22377237	0.0333805984823129	GNB2	7	100271437
cg22377389	0.75267533677122	GJB6	13	20805679
cg22377428	0.89841473955131	NA	NA	0
cg22377963	NA	BCL7C	16	30905861
cg22377998	0.0554683290507449	ARVCF	22	20004881
cg22378065	0.679210148860151	HYMAI;PLAGL1	6	144329172
cg22379207	0.0195497613508384	ZNF790	19	37329274
cg22380033	0.0253591061476661	GRB14	2	165477918
cg22381196	0.880993459387028	DHODH	16	72041376
cg22381955	0.952604856007503	CHFR	12	133429949
cg22384366	0.0144656662105604	PIK3CA	3	178867004
cg22385477	0.108701701308582	CCDC110	4	186392754
cg22385764	0.335169208667927	ASB8	12	48551594
cg22386311	0.437374258579681	DSG1	18	28898907
cg22386774	0.636743964848417	CRYGA	2	209029690
cg22387994	0.0192486791574741	NAPA	19	48018200
cg22388943	0.0166348991700102	EIF5	14	103799756
cg22391400	0.0177242212371603	SLK	10	105727767
cg22392276	0.102278842921285	CKB	14	103988476
cg22392666	0.464535402394849	FXYD7	19	35634167
cg22392708	0.14731198138419	KRT23	17	39093770
cg22395019	0.0360691276615125	GALNT14	2	31361692
cg22395192	0.0129121417526949	FAM46B	1	27339435
cg22396129	0.365005689465104	NA	NA	0
cg22396353	0.0122124937904653	GTSE1;CN5H6.4	22	46692687
cg22396691	0.0211077357792655	MRPS25	3	15106968
cg22396755	0.0640135210562875	RAP1GAP	1	21995097
cg22397447	0.0228268189869151	ALDH1B1	9	38392975
cg22397854	NA	OSCP1	1	36916501
cg22398616	0.59829188168641	LECT1	13	53314203
cg22401066	0.0239536342410663	SMPDL3A	6	123110741
cg22402007	0.162409371492002	NTRK2	9	87282823
cg22403851	0.0166843406042837	PDIA6	2	10952734
cg22404646	0.0106264002322807	CD151	11	833345
cg22405555	NA	ALG12;CRELD2	22	50311792
cg22406518	0.0637038128599268	AMOTL2	3	134093627
cg22407458	0.683623265136476	TCP11	6	35109121
cg22407504	0.602313108933739	MUC5B	11	1243090
cg22407574	0.0307540991118841	DONSON	21	34960583
cg22409223	0.0809001924479447	PIK3R4	3	130465572
cg22409383	0.0136216955330092	MATR3;SNHG4	5	138609379
cg22411068	0.00878259979824983	ROPN1L	5	10442103
cg22411207	0.213245883665224	MOS	8	57026301
cg22412741	NA	GLTSCR1	19	48182221
cg22415432	0.0702124746467073	NA	NA	0
cg22415472	0.864797604431849	SLC5A7	2	108602361
cg22416721	0.64732581286789	DMP1	4	88570574
cg22417398	0.0355091498776779	SCYL1	11	65293094
cg22417789	0.0270812353707685	SPRY2	13	80915465
cg22418360	0.0441368690517431	UBE2F	2	238876345
cg22418909	0.091285112567407	SFRP1	8	41166738
cg22419075	0.0165332349433855	DPP7	9	140008995
cg22419732	0.888846692402721	NA	NA	0
cg22421699	0.239674289782313	SMPDL3B	1	28261367
cg22421766	NA	SCNN1D	1	1217658
cg22424108	0.0741807211739168	SLC44A3	1	95285531
cg22424444	NA	LOC255512;TOLLIP	11	1331736
cg22424746	0.437749289438649	VTCN1	1	117753313
cg22425806	0.0675369449296681	TGFA	2	70781576
cg22427279	NA	NHLH2	1	116384534
cg22428102	0.0130816224551419	WWC2;C4orf38	4	184020710
cg22429822	0.00933742667245799	RAB3B	1	52456361
cg22430790	0.0990998410162169	FRMD6	14	52117833
cg22432269	0.00905324188569239	CYFIP1	15	22892697
cg22432367	0.0257095278352848	ARID1B	6	157098650
cg22432908	0.806679552480195	NA	NA	0
cg22436229	0.092259064356621	PDIK1L	1	26437241
cg22436411	0.845242778847879	NA	NA	0
cg22437284	NA	SRC	20	35972536
cg22437699	0.743266960003892	ARX	X	25033358
cg22438324	0.0112246948908559	APEX1;OSGEP	14	20922915
cg22438810	0.623040255385915	LCN2	9	130911792
cg22441882	0.271350372270564	SLC18A1	8	20040654
cg22442090	0.603832781970097	GIMAP5	7	150434077
cg22442730	0.114901726344557	SRMS	20	62179233
cg22443330	0.141549348296732	MTMR15	15	31196599
cg22444610	NA	KCTD18	2	201375087
cg22445920	0.874529819772173	SLC36A3	5	150683178
cg22448677	0.0121291563090027	RNF6	13	26796711
cg22449114	0.516194694284457	TCF15	20	590243
cg22449795	0.013217305351636	USP30	12	109490720
cg22451189	0.014770333645456	MRPS22	3	139062925
cg22456522	0.253445368614686	NA	NA	0
cg22458065	0.832149667269192	PSORS1C2	6	31108108
cg22458082	0.710194538495025	NA	NA	0
cg22459146	0.50692857345766	GHSR	3	172167030
cg22459359	0.00767809914437365	ZMYM6	1	35497285
cg22459930	0.0238376451938159	TXNDC17;KIAA0753	17	6544061
cg22461018	0.660912943168538	MORF4	4	174538011
cg22461615	0.0102106451243446	THAP9	4	83821917
cg22461835	0.0600493340489415	ADRA1A	8	26723365
cg22462235	0.586284204187376	LEFTY2	1	226129481
cg22463915	0.769376882404059	EEF1A2	20	62131260
cg22464182	0.0156589817852782	ACVR2A	2	148602625
cg22464186	0.0364859838346167	TNFRSF21	6	47277552
cg22464423	0.0417128100849543	CADM4	19	44144337
cg22467071	0.500986819371949	NA	NA	0
cg22467216	0.0152180645875618	TUBB6	18	12308812
cg22467534	0.214035977971385	UNC13D	17	73841658
cg22467567	0.0364222084886038	IGFBP5	2	217559885
cg22468055	0.234629675537433	PARP15	3	122334227
cg22468123	0.0173345545195151	NAT14	19	55996652
cg22468803	0.0285021447370068	ANKRD12	18	9136381
cg22469141	0.0245534978011022	MIR639;TECR	19	14640373
cg22469841	0.0116309117753058	FSTL1	3	120169368
cg22470827	0.0139217588044749	CHMP2B	3	87276743
cg22471346	0.125307127211237	NA	NA	0
cg22472290	0.12685875324287	ZNF577	19	52391480
cg22473095	0.0261225822263667	RBBP9	20	18477967
cg22473973	0.0454514801834636	BNIP3	10	133794911
cg22474507	0.0147880736738022	TECPR2;CINP	14	102829872
cg22475430	0.0177117372434215	ATN1	12	7033563
cg22476084	0.0478795005782931	NA	NA	0
cg22476251	0.874844398591651	PPEF2	4	76823701
cg22476295	0.010497662605688	PDGFA	7	559000
cg22477592	0.0110760280146505	ATM;NPAT	11	108093921
cg22477971	0.559122720197734	C1QB	1	22984594
cg22478328	0.0334864489664466	C22orf24;YWHAH	22	32340140
cg22478614	0.725817583042293	NA	NA	0
cg22479947	0.0126708293086837	CARS	11	3078624
cg22482381	0.0164998846787648	MGEA5	10	103578053
cg22484793	0.738235945956932	TLR9	3	52261325
cg22484980	NA	TPCN2	11	68815449
cg22485810	NA	ADAP2	17	29248725
cg22487322	0.50263310329906	IL20RA	6	137366322
cg22490255	0.0182233777029787	TSPAN31	12	58138949
cg22492020	0.0444393109881934	TIPIN	15	66648688
cg22492966	0.031927712412404	JMJD1C	10	65028929
cg22493172	0.0221997681869401	POU6F1	12	51611826
cg22494492	0.0204883574468277	SUPT5H	19	39936032
cg22495120	0.541267244100735	FMR1NB	X	147063094
cg22495124	0.730300849119015	CACNG5	17	64873528
cg22495162	0.027563495823533	LSM6	4	147096787
cg22496254	NA	NCAPG;DCAF16	4	17811165
cg22496652	0.663113930617601	NA	NA	0
cg22496683	0.53817908899198	RBM46	4	155702610
cg22496859	0.0184161312646461	BRF1	14	105766987
cg22497867	0.948713750925044	MAGEA4	X	151081296
cg22498251	0.171642571035282	TWIST1	7	19157710
cg22498840	0.0198563245404291	MCART1	9	37903528
cg22499237	0.0202312981250323	PDPK1	16	2587546
cg22499964	0.0259863283026118	EGLN2	19	41304369
cg22500004	0.581570601829989	DIRAS3	1	68516272
cg22501393	0.031853010850796	ALKBH6	19	36505311
cg22502171	0.729354301370496	GNRH1	8	25281609
cg22502502	0.104568849795361	TRIM38	6	25962567
cg22505977	NA	SLC36A2	5	150727459
cg22506059	0.549584623215866	CARD10	22	37916157
cg22506453	0.906244688000775	KRT39	17	39122753
cg22510412	0.4953114506257	BLCAP;NNAT	20	36149121
cg22510822	0.777946881497115	NA	NA	0
cg22510943	0.0652024648121755	LMNB2	19	2456368
cg22511262	0.394448811845868	WT1	11	32455192
cg22511633	NA	TBL2	7	72993507
cg22511947	0.0494486467594262	FN1	2	216301558
cg22512531	0.415723246665527	CRTAM	11	122709551
cg22517351	0.0643802375194333	GLT25D1	19	17666898
cg22518733	NA	CCL3	17	34417575
cg22520471	0.0192391551203884	DDX42;CCDC47	17	61851767
cg22521310	0.026855607887917	SERTAD2	2	64881850
cg22524267	0.0111220400747795	STX18	4	4543474
cg22524514	0.15476827101266	CST6	11	65779676
cg22527345	0.111192885937992	CCDC71	3	49203910
cg22527415	0.0378060588657006	EDC3	15	74988357
cg22529861	0.016476639574853	GALNTL4	11	11643697
cg22532997	0.0373450259281875	LRRC16A	6	25279002
cg22533573	0.432971160868883	WT1	11	32452771
cg22534509	0.23158089918601	GPR81	12	123215119
cg22534599	0.00800971860245329	NA	NA	0
cg22536398	0.0901349433225279	NTN3	16	2521659
cg22539738	NA	KIAA1704;NUFIP1	13	45562280
cg22541143	0.215339464258467	HELQ;MRPS18C	4	84377292
cg22543128	0.881419884508585	NA	NA	0
cg22543648	0.870020104965216	GATA1	X	48644610
cg22544376	0.0139126222436353	DGUOK	2	74154016
cg22545356	0.864827491439495	MMRN2	10	88716659
cg22546318	0.0264677066624238	ATP5G2	12	54070378
cg22549408	NA	PMAIP1	18	57566300
cg22552168	0.0466088238640617	BMP1	8	22023391
cg22552669	0.0171769994387529	FAM89B;SSSCA1	11	65338422
cg22552684	0.0327270791141611	C7orf25	7	42951784
cg22552966	0.981428812118956	SLC47A2	17	19620595
cg22555495	0.532509647743576	SNRPN;SNURF	15	25201224
cg22557067	0.0293923819135182	NA	NA	0
cg22559669	0.0112258285447263	TSPAN5	4	99580121
cg22560190	0.0366165259794482	CNTN1	12	41086198
cg22562335	0.919937909832321	XAGE5	X	52841633
cg22563182	0.0131870887383507	HSD11B1L;C19orf70	19	5680756
cg22563697	0.814490121714656	PPP1R16A	8	145722190
cg22563815	0.874177259249687	CHRNA5	15	78856949
cg22566906	0.443713975936414	GRASP	12	52399713
cg22568540	0.964779118387758	NCRNA00181;A1BG	19	58864846
cg22568695	0.857384027349624	KIAA1468	18	59888119
cg22571217	0.0239580073206699	DAPK1	9	90112519
cg22571530	0.102443042496389	NFASC	1	204797929
cg22572159	0.0250409451567172	NGF	1	115880646
cg22572214	0.0181052655510284	SLC33A1	3	155572542
cg22572779	NA	C6orf218	6	10434761
cg22573917	0.127868979814005	WNT1	12	49371628
cg22575540	0.872391232467789	TRIM54	2	27505625
cg22577136	0.0121691590303349	IKBKE	1	206644165
cg22578204	0.117192644455481	NA	NA	0
cg22578610	NA		11	65336227
cg22579849	0.0170692662686454	DCTN3	9	34620091
cg22580173	0.0163331477377368	THBS1	15	39873304
cg22580353	0.264131381732548	PVR	19	45146900
cg22580372	0.0159934916054059	TMEM177	2	120436899
cg22580512	0.348852824653395	NCOR2	12	125002474
cg22580905	0.0234977620801077	TIMELESS	12	56843287
cg22582569	0.0255616772890307	PPP2R1B	11	111636425
cg22584138	0.506160214935443	SLC6A4	17	28562220
cg22584335	0.0307671148930474	ZNF512	2	27806067
cg22585269	0.0672648811936442	CHEK2;HSCB	22	29137759
cg22585988	0.450951241149703	PVRL4	1	161059327
cg22586527	0.47656695407182	NA	NA	0
cg22587514	0.0180394240533139	MRPS2;C9orf116	9	138392051
cg22587758	NA	SAA4	11	18258323
cg22591065	0.0979936499634993	OBFC2B	12	56618214
cg22593486	0.988260429454744	NA	NA	0
cg22593785	0.0169844674530529	C1RL;LOC283314	12	7261970
cg22594309	0.0185571278005559	SYT2	1	202679504
cg22598028	0.0751283135769954	ZNF660	3	44626492
cg22598563	0.190981124774006	P4HA2	5	131563921
cg22598744	0.882232991792335	MLANA	9	5890866
cg22601215	0.302702641050802	GSPT2	X	51486845
cg22601917	NA	H6PD	1	9294274
cg22603964	0.0123927203885289	MAN2A1	5	109024897
cg22605063	0.0502568722833696	DBN1	5	176899801
cg22605342	0.0170492635271042	RSL1D1	16	11944985
cg22605643	0.0923499634427861	RGS4	1	163039012
cg22606062	0.0125300773423527	CCNI	4	77996244
cg22606869	0.0106603893956332	TUBA1C	12	49658703
cg22607339	NA	MPL	1	43803159
cg22609068	0.0115751602665919	C16orf67	16	31711784
cg22609576	0.0152819217241147	SPG20	13	36920662
cg22609784	0.858162323946749	MSX1	4	4863678
cg22610305	0.0167042856811072	CHRAC1	8	141521720
cg22613010	0.023675396350885	CLCN2	3	184079172
cg22614355	0.0129625670424222	HTR6	1	19991237
cg22617367	0.622365070225872	NKRF	X	118740614
cg22619018	0.174500564923798	CSMD1	8	4852624
cg22619563	0.0209656596214327	EPHA3	3	89156830
cg22620680	0.0863098909774911	SEC22A	3	122920514
cg22621695	NA	DYRK2	12	68042799
cg22621736	0.0179925717693842	FADD	11	70049468
cg22622495	0.0182950986424866	CDC7	1	91966418
cg22622686	0.0147381819933347	NA	NA	0
cg22623062	0.0202666441853466	TP53I11	11	44972293
cg22624926	0.0181889485115178	PSMA6	14	35761401
cg22625415	0.0276347860548548	ITGA1;PELO	5	52084413
cg22627427	0.961226699359442	C11orf9;DKFZP434K028	11	61522498
cg22627950	0.0164736918527415	TMED4	7	44622302
cg22628694	0.946641881221686	ZNF329	19	58663362
cg22628840	0.014585673538401	PNO1;WDR92	2	68384458
cg22628873	0.725996910273096	GGT6	17	4464400
cg22628926	NA	SLC25A11;RNF167	17	4844700
cg22630160	0.026807835447058	HIST1H3B;HIST1H2AB	6	26033475
cg22630748	0.729603138977185	INHBE	12	57848870
cg22631642	0.0090245966105163	NA	NA	0
cg22631938	0.255387886894714	EIF4E3;GPR27	3	71802420
cg22632663	0.202693697752274	RNF41	12	56615932
cg22633722	0.0944568953955995	CBS	21	44496743
cg22634689	0.018465504195316	TMEM121	14	105993363
cg22635155	0.0309019104452799	PDE2A	11	72385075
cg22636253	0.00980337090515549	SSRP1	11	57102965
cg22637507	0.0494954923056919	ALKBH3	11	43902407
cg22637834	0.934926941575506	AKT3	1	244007281
cg22637941	NA	WISP1	8	134203841
cg22638542	0.896719863756607	SEC22C	3	42624573
cg22639768	0.0174247053917049	FAM13C	10	61122535
cg22640452	0.00996764139319638	NR1D1	17	38256967
cg22642718	NA	KCNJ12	17	21318837
cg22643217	0.592300143089976	KRTAP11-1	21	32253964
cg22646528	0.0281826566371768	DTNA	18	32073466
cg22646710	NA	SYT6	1	114696798
cg22646937	NA	KCNMB1;KCNIP1	5	169816792
cg22647018	0.775209224901227	AGT	1	230849519
cg22647507	0.914928453385223	NA	NA	0
cg22650146	0.0378404881786349	DUSP10	1	221915355
cg22654935	NA	WDR88	19	33621645
cg22655224	0.0122159567348604	MT3	16	56623448
cg22657536	0.0306497982794328	EDC3	15	74988951
cg22658979	0.560878526539629	MMP13	11	102826469
cg22658985	0.014221687515186	DCAF12	9	34126662
cg22659356	0.018620304185766	STK39	2	169104591
cg22659426	0.00988020166779226	CLN3	16	28503060
cg22660544	0.0245626993216902	RPS11;SNORD35B	19	49999765
cg22660578	0.440984195455281	LHX1	17	35294029
cg22663080	NA	GCLM	1	94375517
cg22663117	0.0424173374140359	MRPL12	17	79670454
cg22665276	0.0240591878885228	ZNF85	19	21106120
cg22667787	NA	APTX	9	33001657
cg22668533	0.0133594531992462	SMC4;IFT80	3	160117570
cg22670329	0.417355799625108	CXCL6	4	74702075
cg22670349	0.013300783113569	CCNYL1	2	208576197
cg22670733	NA	CHRNA3	15	78914284
