Hybridization REF	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05
cg22722454	NA	CNDP1	18	72201178
cg22722802	0.0172396793597499	MPV17L	16	15489542
cg22722822	0.0326310397721712	CHIC2	4	54931066
cg22723026	0.0116061631495013	RNASE4;ANG	14	21152452
cg22724153	NA	SPAM1	7	123565925
cg22726338	NA	AKNAD1	1	109400450
cg22727416	0.0161673541873659	ADAM10	15	59041689
cg22728790	0.0170574486251309	PIN1	19	9945653
cg22730004	0.070571533573559	SPTA1	1	158656718
cg22730042	NA	U2AF1	21	44528293
cg22730357	0.0133927172060733	PTPN4	2	120517546
cg22730560	0.382400409620335	NA	NA	0
cg22730830	0.660116859145968	PRSS21	16	2867434
cg22731373	0.486080296706932	PCYT1B	X	24665296
cg22732515	0.0702275763747937	ETHE1	19	44031385
cg22732672	0.0106625956257168	AURKA;CSTF1	20	54967037
cg22733478	0.00932839249730478	GPRIN1	5	176036806
cg22734085	0.0186342659573424	C4orf38;WWC2	4	184020261
cg22734315	0.0110480672308232	ATMIN	16	81069742
cg22734480	0.0135181324130305	ABHD8	19	17414346
cg22736107	0.0123037958843413	PSMB4	1	151371972
cg22736323	0.546143096212493	PDGFRA	4	55095529
cg22736354	0.15986279649324	NHLRC1	6	18122719
cg22737001	0.0107992129416732	RUNX3	1	25257029
cg22740783	0.135138962779739	CGREF1	2	27341458
cg22740835	0.924995362879526	DDR2	1	162602559
cg22744680	0.0431352883850695	KREMEN2	16	3014898
cg22745747	0.602568157687925	BMX	X	15519107
cg22747092	0.301920243394144	NACC2	9	138987818
cg22748452	0.24405127358146	SRXN1	20	634604
cg22748573	0.0235437610120913	CITED4	1	41327924
cg22748850	0.0220640660576608	CDC25C	5	137667638
cg22750254	0.0368629433406186	CCDC3	10	13043421
cg22751696	0.0282588180513584	C3orf14	3	62305147
cg22752533	0.538962595142872	SLC12A5	20	44657948
cg22753607	0.0213923702729696	ZCCHC7	9	37120306
cg22753768	0.115373695262086	BAP1;PHF7	3	52443424
cg22757447	0.0887026873102336	IMPACT	18	22006316
cg22759185	0.446646416458867	REEP6	19	1492038
cg22759686	0.0187942265629469	ARSD	X	2847113
cg22760576	0.0187978820018884	EYA3	1	28415004
cg22762180	0.0187114576126116	PERP	6	138428894
cg22762309	0.807774566732046	OTUD6A	X	69282103
cg22762951	0.0208676756712237	NVL	1	224518104
cg22763181	0.0236466616546375	YY1	14	100705159
cg22764338	0.0432239965308227	PCDH1	5	141257604
cg22764341	0.0793205612483009	ATP10D	4	47487088
cg22764925	0.234818845910499	GGT1	22	24979964
cg22766145	0.40440180173728	BHLHE22	8	65492528
cg22767079	0.0225343848953959	KDELC1;BIVM	13	103451338
cg22767466	0.580470526408576	NA	NA	0
cg22767735	0.0178708870429947	ALDH3A2	17	19551663
cg22769406	NA	COX6B1	19	36139594
cg22771603	0.0159635029560697	HSPA4	5	132387301
cg22772698	NA	ZBP1	20	56195991
cg22772878	0.305254854399272	DIRAS1	19	2721800
cg22774012	0.0189882777510636	MRPS18C;HELQ	4	84376821
cg22774127	0.0154913368683379	COX10	17	13972928
cg22774472	0.276574590803229	COL5A2	2	190044636
cg22775000	0.12927124897618	TMEFF1	9	103235181
cg22775896	0.0198231690043394	GM2A	5	150632248
cg22776578	0.0566530251884988	CPLX2	5	175223497
cg22777952	0.080677602760152	FOXB1	15	60296425
cg22778145	NA	CLK4	5	178054469
cg22778180	0.0157065899712505	C12orf47;MAPKAPK5	12	112280887
cg22778947	0.309165183334678	NA	NA	0
cg22778981	0.094629660628902	ERBB2	17	37856133
cg22780428	0.0332267761404798	CEPT1;DRAM2	1	111682262
cg22780475	0.646220242414243	CBLC	19	45281526
cg22781236	0.0150477890220995	UBL3	13	30424171
cg22781397	0.0127273152396904	CDK2;SILV	12	56360787
cg22782492	NA	VHL	3	10184007
cg22783258	NA	LMO7	13	76194082
cg22783363	0.584983626452153	TNFRSF10D	8	23021553
cg22784047	0.844176911869659	PRRT2	16	29824542
cg22788223	0.0157591510339182	NFYA;C6orf130	6	41040659
cg22789545	NA	C20orf114	20	31871352
cg22791453	0.127095859197598	ASS1	9	133319899
cg22792432	0.0111689759529694	ROCK1	18	18691067
cg22792910	0.203274818897868	ANXA4	2	70009351
cg22792938	0.00990843545944193	AGFG1	2	228337242
cg22793458	0.0182553675344206	ZBTB11;LOC100009676	3	101395525
cg22794078	0.0517810706828314	C15orf44	15	65904012
cg22796458	0.0174112817512726	UBQLN4	1	156022836
cg22797169	0.6053434009063	IL1RL2	2	102803407
cg22797991	0.0506065534146113	ATP10A	15	26108801
cg22799132	0.798079934762959	TRPC5;ZCCHC16	X	111325495
cg22799321	0.0272695203274291	TFPI2	7	93519621
cg22799850	0.135500162411357	ARMC10;FBXL13	7	102714871
cg22799917	0.0144311548966793	YWHAB	20	43514951
cg22800191	0.0172097422899451	HPS3	3	148847598
cg22800631	0.0725820028471229	TRRAP	7	98476628
cg22801690	NA	DAO	12	109274241
cg22802439	0.739215939621608	UPK1A	19	36157825
cg22802739	0.0247972513639315	DBF4;SLC25A40	7	87505101
cg22805308	0.341890232392348	PLEKHG5	1	6579915
cg22805517	0.0209293067161829	C7orf25	7	42951105
cg22805632	0.562054482712194	KRT10;TMEM99	17	38978827
cg22807551	0.0193976276386019	MTUS1	8	17659378
cg22807700	NA	DNTTIP2	1	94345672
cg22807823	0.0390596173113102	HNRNPK;RMI1	9	86594226
cg22808175	0.0144992225636866	PHOSPHO1	17	47308389
cg22809047	0.195811137964606	RPL31	2	101618261
cg22812892	0.0143317111242274	IDE	10	94333586
cg22813220	0.0153373161420178	C1orf83;TMEM59	1	54519286
cg22814247	0.0132269422308732	SIRT2;NFKBIB	19	39390451
cg22814929	0.0726769551673092	BTN2A1	6	26458213
cg22815110	0.141612321819556	FOXD3	1	63788933
cg22815214	0.118354324380251	CACNA1S	1	201083145
cg22815534	NA	CECR4;CECR5	22	17646263
cg22816171	0.022477687373518	DDX50	10	70660920
cg22820108	0.397849885037129	NCOR2	12	125003218
cg22821324	0.0482817688498829	GPM6A	4	176923439
cg22821606	0.0179199842609601	C11orf67;RSF1	11	77532200
cg22821834	0.0151026755255501	GPR135	14	59931541
cg22821930	0.0359567619051843	RBM39	20	34330085
cg22825487	NA	VNN3	6	133055183
cg22825979	0.0307131636350633	TRIM13;DLEU2	13	50571203
cg22826936	0.0194307363643571	ULK2	17	19770443
cg22827290	0.015193391362543	ORAI3	16	30960753
cg22827524	NA	FAM177B	1	222910746
cg22827640	0.00896656788161649	HPCAL4	1	40157125
cg22828602	0.768193633280781	CADPS2;RNF133	7	122338579
cg22828804	0.0153928113513186	UBOX5;FASTKD5	20	3140466
cg22830590	0.0235596355317924	CIR1;SCRN3	2	175260396
cg22830895	0.263272291908504	CRYGN	7	151137476
cg22831263	0.0165705172172471	SPG11	15	44955512
cg22831514	NA	HSD17B11	4	88312706
cg22832044	0.0772251276453841	CDH1	16	68771999
cg22833027	NA	CHRD	3	184098790
cg22833175	0.434955268118254	WBP11;C12orf60	12	14957520
cg22833292	0.0280840147480076	RPS6KA4	11	64126806
cg22835805	0.405657187097519	NA	NA	0
cg22836132	0.376789186699316	NA	NA	0
cg22836153	0.0229883605614595	LOX	5	121412702
cg22836229	0.182124241099862	EFCAB1	8	49647717
cg22836370	0.0220320234602059	MBD2	18	51751085
cg22836470	0.455987788815277	TMEM119	12	108991777
cg22837289	0.0231775517523381	ITFG2	12	2921745
cg22838674	0.0133538163514391	PROSC	8	37619818
cg22841169	0.0311092281054806	YPEL5	2	30369455
cg22842233	0.673177148994413	UPK1B	3	118892068
cg22843446	0.185617313296459	ASAM	11	123066252
cg22844623	0.856385046957759	GJC2;GUK1	1	228336130
cg22845362	0.0122521000476234	ANAPC4	4	25378974
cg22851319	0.0696407309789173	NA	NA	0
cg22853986	0.0243446849205639	TRMT12	8	125463310
cg22854223	NA	CD82	11	44586505
cg22854546	0.010432296116375	WDR33	2	128568196
cg22855405	0.22989548801953	TINAGL1	1	32042037
cg22857604	NA	RASSF5	1	206730695
cg22857957	0.0310325208641823	FMO5	1	146697082
cg22858288	0.836691407286189	SLC22A18	11	2930322
cg22858308	0.883153734904395	HIVEP2	6	143095613
cg22858728	0.398480539264921	MPP1	X	154034149
cg22858861	0.0299129520610071	ATP5A1;HAUS1	18	43684144
cg22861316	0.845297454555739	FABP6	5	159656660
cg22862656	0.448653523006356	SCGB2A2	11	62037659
cg22863122	0.0101820989153241	DUSP7	3	52090142
cg22864416	0.0154313315184511	CCNJ	10	97803525
cg22867063	0.026403674000408	ZNF214;NLRP14	11	7041549
cg22870256	0.0198849261158929	FDFT1	8	11660209
cg22870280	0.843857155016846	BCL2L10	15	52404029
cg22873668	0.435837528161991	CXorf56	X	118699347
cg22873892	NA	GALK2;COPS2	15	49447651
cg22874046	0.0090729597164689	ICAM1	19	10381763
cg22874560	0.0178730293087053	TMEM217;TBC1D22B	6	37225361
cg22874695	0.012602299963865	C8orf40;SLC20A2	8	42397328
cg22874960	0.019279627716666	NDE1;KIAA0430	16	15737314
cg22875391	0.909294813535792	TPRG1	3	188889999
cg22876908	0.195621173908893	DGKA	12	56325149
cg22878324	0.0123876093635885	PURB	7	44925316
cg22879289	NA		1	236237743
cg22879515	0.0194245352663426	MIR34B;BTG4;MIR34C	11	111383515
cg22880820	0.0720021903820786	C9orf100	9	35665522
cg22881914	0.318415133600251	NID2	14	52536147
cg22882178	0.0198981950533661	PITX3	10	104001226
cg22884082	NA	C6orf162;GJB7	6	88039023
cg22885821	0.0130577722944423	GNAS	20	57465921
cg22885965	0.0142578135548816	QRSL1;RTN4IP1	6	107077115
cg22886005	0.0282525331443793	ILKAP	2	239112570
cg22886089	0.0250664083996813	SCG3	15	51973591
cg22889448	0.394712636482669	EMR1	19	6886962
cg22889570	0.0145048512196554	ZNF596;RPL23AP53	8	182684
cg22892110	0.132595354061581	MAPK15	8	144798631
cg22892237	0.0193212335487827	DPY19L3	19	32895911
cg22892904	0.574634857629124	CBX2	17	77751089
cg22898761	0.665742151124543	NA	NA	0
cg22899145	0.910312531998267	NA	NA	0
cg22901146	0.264194487363179	GUCY2F	X	108725107
cg22901840	0.815290166931834	DIRAS3	1	68512777
cg22902083	0.0446409218425027	CNN2	19	1026642
cg22903365	0.0142673887087158	KLHL28;FAM179B	14	45431297
cg22903370	NA	IDH3G;SSR4	X	153058860
cg22905097	0.0381476898477933	EPSTI1	13	43566401
cg22905968	0.0306515479900808	SERTAD1	19	40931262
cg22906389	0.00977599595854264	CASP7	10	115438910
cg22907065	0.0124885195189732	RHOA;TCTA	3	49449503
cg22908581	0.1701923892767	CD4	12	6898975
cg22909609	0.490271106076139	ITGBL1	13	102105440
cg22909962	0.0181646954632048	RPL7L1	6	42847910
cg22913584	0.00705540916915567	SSBP2	5	81046758
cg22915732	0.0376598537406721	CLVS1	8	62200518
cg22916109	0.00983497537932385	IREB2	15	78730334
cg22917082	0.011146112599771	CXorf15	X	16804636
cg22917487	NA	CX3CR1	3	39322103
cg22918700	0.858191894747325	FITM1	14	24600067
cg22919370	0.041150653095776	HIST1H3I	6	27840212
cg22919728	0.239128990135383	CHST13	3	126242490
cg22920417	0.274605364426903		18	74401671
cg22920538	0.0125798935497952	UROD;HECTD3	1	45476463
cg22920873	0.00977268025106592	C7orf55	7	139025153
cg22925006	0.0385182500009211	ATP6V1C1	8	104033618
cg22925639	0.920224322566319	CHRNA1	2	175628739
cg22926560	0.0294442535923194	PFKFB2	1	207226769
cg22927043	0.0366481497647825	NPPB	1	11919699
cg22927134	0.740316847723898	CHRM5	15	34349252
cg22927153	0.0217468591324321	NA	NA	0
cg22930187	0.284294473012163	ARTN	1	44398959
cg22931889	0.926573278610031	NA	NA	0
cg22932215	0.0514293895982305	COPS7B	2	232651635
cg22932819	0.932636443602682	GPNMB	7	23285742
cg22933847	0.622592850224159	MRGPRF	11	68780136
cg22936016	0.0500374126998985	FSIP1	15	40075187
cg22937320	0.955006881077865	FAM154A	9	19032778
cg22937804	0.47503943426831	C2orf53	2	27361879
cg22938407	0.0261782382217116	CEP72	5	612277
cg22939715	0.012863093524024	FAM189B	1	155225375
cg22940152	0.358422797475723	NCRNA00176	20	62669102
cg22940789	0.150995824082059	DCLK1	13	36704709
cg22940988	0.867865406607016	AAGAB	15	67538446
cg22941086	0.903257750018502	C12orf40	12	40019883
cg22946150	0.0486635169960858	SH3GL3	15	84116107
cg22946876	0.0216866729393828	RASSF8	12	26111213
cg22947000	0.109485605104375	BCMO1	16	81272281
cg22949637	0.0144097338044235	PRPF38B	1	109234813
cg22950347	0.0176952374741215	C13orf23;NHLRC3	13	39611764
cg22950391	0.0146367255957821	ZNF192	6	28109938
cg22951794	0.354471363286327	NA	NA	0
cg22954265	0.726009790260908		20	29520583
cg22954818	0.833058216550565	APOBEC3A	22	39354115
cg22956254	NA	GDF3	12	7848647
cg22956315	0.0133443328905044	TTC1	5	159435973
cg22956483	0.232414097883162	INS-IGF2;IGF2	11	2154432
cg22956956	0.0266167432730758	TFRC	3	195809355
cg22957381	0.022764826827026	KCND3	1	112532078
cg22959932	0.411103134388637	C3orf32	3	8693706
cg22960185	0.0167954991155946	TMEM38A	19	16772516
cg22960284	NA	PYGL	14	51411624
cg22960501	0.0122674253585405	IKBKB	8	42128498
cg22960952	0.582681737393486	C4orf26	4	76481169
cg22963452	NA	IFITM1	11	312766
cg22967016	0.024575198345663	MICAL2	11	12131739
cg22967284	0.0217078369653425	SLIT1	10	98945892
cg22967298	0.018317729854623	PCNP	3	101292860
cg22968401	0.311438844891942	PIPOX	17	27370009
cg22968727	0.0224058438600123	RPL11	1	24018140
cg22970435	0.454424709991489	SPATS1	6	44310228
cg22971191	0.290720555218881	SLC10A2	13	103719706
cg22972055	0.712146186694682	UNC84A	7	872293
cg22973038	0.020293082312617	TUFM	16	28857255
cg22973042	0.0971688095662392	AKT2	19	40790591
cg22974215	0.0124874947929872	B3GAT3	11	62389777
cg22975568	NA	CD74	5	149793436
cg22975712	0.790732318487129	GALR3	22	38218945
cg22975913	0.0457065980862907	WIT1;WT1	11	32457727
cg22978941	0.0116991562750155	UNG	12	109535460
cg22979433	0.78236895841618	RNU5E;RNU5D;CKMT2	5	80528609
cg22980079	0.932980214174756	FAM193A	4	2627118
cg22980351	0.677534985457906	DCAF12L1	X	125687039
cg22981461	0.0341115195705173	OTUB2	14	94492474
cg22982528	0.013046648323522	BRWD1	21	40686185
cg22983092	0.948044144015589	KRT25	17	38911538
cg22983460	0.610938930125948	SUV39H1	X	48554902
cg22983529	0.0567469671824518	GNG11	7	93551132
cg22983885	NA	C1orf128	1	24104423
cg22984277	0.763366134440317	NA	NA	0
cg22984616	0.0142655688847658	BAG2	6	57037535
cg22986077	0.632644153916581	C11orf67;RSF1	11	77533213
cg22986271	0.0629141545732261	SACM1L	3	45730975
cg22986999	0.341692290975561	MRGPRF	11	68781976
cg22988566	0.769142846417842	WFDC10B;WFDC13	20	44334869
cg22991148	0.0353458721744845	C21orf29	21	46131099
cg22992570	0.0116239994160402	ACER3	11	76572061
cg22994720	0.147580303871156	CHRDL2	11	74441988
cg22995106	0.0458642853265604	SF3B3;COG4	16	70558876
cg22995176	0.0601516212786138	UPK3B	7	76139470
cg22996555	NA	MOGS	2	74692183
cg22997415	NA	OVGP1	1	111971020
cg22997490	0.030942057787955	NA	NA	0
cg22998811	0.0186790028621851	ZNF563	19	12444541
cg22998840	NA	TCEAL3	X	102862559
cg23001457	0.221312624542347	MRGPRX1	11	18956283
cg23001650	0.0742782193383433	B4GALT2	1	44444603
cg23002761	0.0234514690193886	FBLIM1	1	16085642
cg23002907	0.0622507618154739	RBMS2	12	56915593
cg23003832	0.0187684015123299	ZDHHC12	9	131486918
cg23003881	0.0376098180386618	BOD1	5	173043929
cg23004625	NA	PIGM	1	160002365
cg23006204	0.272754793980591	DPM2	9	130700866
cg23009046	0.0593702819582551	PVRL1	11	119600595
cg23013392	0.0163285287802693	RRP9;PARP3	3	51976224
cg23013864	0.239588355453835	CAP2	6	17393396
cg23013931	0.0209833788448766	SLC25A17	22	41214857
cg23018448	NA	QTRT1	19	10811855
cg23018891	0.0200685419724315	BCAS2	1	115124407
cg23020402	0.0138381189217337	ACOT13;TTRAP	6	24666573
cg23022999	0.909723335828035	RINL	19	39368345
cg23026920	0.0173164051287358	TP53RK	20	45317919
cg23026995	0.556804481802137	XPNPEP2	X	128872940
cg23029193	0.0212938001873956	EGFLAM	5	38258216
cg23029491	0.0166506230659794	UBAP2	9	34048775
cg23029494	0.027188251143133	IRF3;BCL2L12	19	50167926
cg23029519	0.758780017962122	IFNA4	9	21187344
cg23030090	0.0406211912654828	RPS19	19	42363626
cg23032316	0.116281676242339	AAAS	12	53715148
cg23032612	0.728752827108758	NA	NA	0
cg23033024	0.650355141634787	CST8	20	23472484
cg23033845	0.880858148217203	TMEM88	17	7758662
cg23033866	0.0248765465547903	MRPL12	17	79670804
cg23034818	0.0324742469922069	BTBD6;BRF1	14	105714589
cg23035555	0.0212007250863548	DOHH	19	3500370
cg23036025	0.793752180253913	SLC27A5	19	59023916
cg23036555	0.0112742633556433	PGD	1	10458832
cg23037133	0.0799985507763722	OXGR1	13	97646811
cg23037403	0.642470492748134	ZNF454	5	178368183
cg23040064	0.0268461395169671	JPH3	16	87635784
cg23042138	0.774502689976922	SETD2	3	47165568
cg23043119	0.0157663601035218	STARD4	5	110848575
cg23043245	0.114297298951056	PACSIN1	6	34434076
cg23043438	0.0103356916068585	TEX10	9	103115132
cg23045073	NA	NPHS2	1	179545458
cg23045373	0.0131296023837389	FAM167A	8	11324048
cg23047271	0.0403195813870824	PRICKLE2	3	64210991
cg23047681	0.0176787721665545	HACE1	6	105307907
cg23048366	0.0151557157352245	HAGH;FAHD1	16	1876863
cg23050981	0.46973530852859	L1CAM	X	153141459
cg23051598	0.33544560121734	ATXN2L	16	28834567
cg23051655	0.0177123929590055	SCYL3	1	169862721
cg23051664	0.586356083380141	TNFRSF10D	8	23020966
cg23054437	NA	MOSC2	1	220921306
cg23054676	0.0112626307804576	MTRR;FASTKD3	5	7869265
cg23054883	0.0925008174100082	FZD10	12	130647580
cg23055159	0.0426795591653007	COMMD8	4	47465899
cg23055678	0.120383130865088	IL1RAPL2	X	103811025
cg23057732	0.0225260023597649	C3orf39	3	43147709
cg23058901	0.679233101708692	ALX4	11	44324759
cg23060239	0.0126791355706638	RUSC1;C1orf104	1	155294612
cg23061257	0.136639573955725	YIPF1	1	54355272
cg23061578	0.201798100131545	SLC9A3	5	524941
cg23062876	0.0368778174140514	DBT	1	100715467
cg23064554	NA	CTRC	1	15764095
cg23065097	NA	FKBP1B	2	24271827
cg23066860	0.484447235965906	GPRASP2	X	101967557
cg23066879	0.0200181654012214	BRAF	7	140624057
cg23067535	0.269276496299277	FAM83A	8	124195133
cg23069305	NA	SENP1;PFKM	12	48500318
cg23070249	0.0355441086416817	HIST1H2BC	6	26125435
cg23070585	0.00803516560028975	SLC39A7;RXRB	6	33168452
cg23073111	0.290636528355903	ESRRA	11	64073390
cg23074401	0.0126718047994862	DDX10	11	108535840
cg23074453	0.0325056108264868	FRMD5	15	44487924
cg23074747	0.0136198026319114	C9orf72	9	27573817
cg23075286	0.786156765735814	GALP	19	56687199
cg23075568	NA	CORO2A	9	100955349
cg23076086	0.0232713668326119	FYN	6	112194849
cg23078294	0.018297075377108	RSBN1	1	114355137
cg23078779	0.336451440046902	NA	NA	0
cg23079782	0.142583049726966	P2RY10	X	78200921
cg23080667	0.0152404304521931	STK35	20	2082285
cg23081213	0.749485177000343	PRKAG3	2	219696472
cg23082632	0.0217330761040431	B4GALT3	1	161146978
cg23082877	0.711465425905692	RASIP1	19	49243427
cg23083672	0.403552084351346	EGFL6	X	13587603
cg23087084	0.0134752284316858	PXMP3	8	77912333
cg23087130	0.0222298919165587	ABI1	10	27149668
cg23088430	0.014543660636312	EEF1D;TIGD5	8	144679052
cg23089298	0.0164503140752539	SEMA4C	2	97536097
cg23089438	0.0365487728975289	CSF1	1	110453477
cg23089840	0.787170863093523	LRRC3	21	45874886
cg23090046	0.400328127975882	KLC1	14	104094619
cg23090824	0.127210415033002	PDE7B	6	136173085
cg23091824	0.0466089438826506	SLC12A7	5	1112355
cg23092072	0.0207389774273417	AFF1	4	87927706
cg23092086	0.470843417396577	CES7	16	55909573
cg23092823	0.522936463034035	PODN	1	53528612
cg23093462	0.0181418138567907	PARD3	10	35104858
cg23093496	0.651046688564615	C16orf54	16	29757323
cg23095584	NA	GBX2	2	237077704
cg23096553	0.0128217654731966	KCNMB4	12	70759870
cg23096644	0.0454848185990557	SGCE;PEG10	7	94284634
cg23097006	0.729212192227144	VSX1	20	25063817
cg23097681	0.0212635034543343	ARHGAP24	4	86396174
cg23099347	0.0107274977566453	C16orf53	16	29827497
cg23099349	0.0152908294926004	HIST1H3B	6	26032281
cg23101680	0.332913188139815	SPERT	13	46277286
cg23104823	0.0181378130034663	PRPF39	14	45553408
cg23104955	0.00823801170799196	RPL7	8	74205400
cg23106559	NA	FAM119B	12	58167483
cg23106779	0.912144758010633	TEX28;TKTL1	X	153523877
cg23106864	0.0168866232364708	SASS6;CCDC76	1	100598378
cg23109191	0.016991716651503	GAB2	11	78128445
cg23109897	0.266858357036246	PRKDC	8	48871883
cg23110514	0.448269968644272	LCE3E	1	152538888
cg23110832	0.024528047404897	FAM100B	17	74261128
cg23111544	0.302607700222258	REG1A	2	79347474
cg23112213	0.0474608764682848	CDC23	5	137549144
cg23113963	0.141263963134269	SCNN1B	16	23313293
cg23114594	0.436207055399261	BEND7	10	13544648
cg23114866	0.021714849800875	NKX2-2	20	21494977
cg23116589	0.218837521850251	ARMCX1	X	100805503
cg23118151	0.0471092716945816	C2orf44	2	24269866
cg23121547	0.00698895478131788	HCCA2;LOC338651;DUSP8	11	1593657
cg23123262	0.018979020824558	ACTR1B	2	98280693
cg23123362	0.0573165379008903	THG1L	5	157158174
cg23123694	0.0128763825282143	SLC38A2	12	46766543
cg23124451	0.219890795616238	CBX7	22	39548131
cg23124755	0.0195679514868298	SUGT1P1;AQP3	9	33447476
cg23125689	0.291986471234197	NA	NA	0
cg23126915	0.776070084888073	XRCC2	7	152374317
cg23126947	0.87343934309968	NSUN3;DHFRL1	3	93780364
cg23126949	0.0514173377586752	ACCN2	12	50450889
cg23127998	0.0976687115996224	FLRT3;MACROD2	20	14318152
cg23128056	0.750366955593525	KRT15	17	39674626
cg23128146	0.029674270608673	DCTN4	5	150138761
cg23129478	0.0292326663108169	ST8SIA5	18	44337922
cg23130254	0.614593496347845	HOXD12	2	176964588
cg23131007	0.0610717658396248	LOC145783;TCF12	15	57210244
cg23131777	0.739713912069994	ADAM30	1	120438925
cg23131950	0.929300248926335	AP2S1	19	47354630
cg23134169	0.0120130542378133	SLC35E1	19	16682794
cg23134520	0.013574638789513	ACOT8;ZSWIM3	20	44485949
cg23137254	0.0147058412178949	NA	NA	0
cg23137494	0.398001958990257	SLC16A2	X	73639809
cg23137807	0.0845262377933809	MEIS2	15	37393578
cg23140706	0.753704640080948	NFE2	12	54689278
cg23141333	0.0185063855813733	DENND2C	1	115212619
cg23141855	0.0230454635516789	TFPI2	7	93519892
cg23142900	0.0186502481225956	GTF2H4	6	30875883
cg23142935	0.0113870760799002	CDR2	16	22385308
cg23142964	0.0117052288635398	SSX2IP	1	85156566
cg23143093	0.906948963225863	NEK10	3	27333024
cg23144899	0.793521295657165	CRYGC	2	208994373
cg23146358	0.0149082261250945	CDKN1C	11	2905496
cg23147597	0.718152255699314	CEACAM19	19	45174681
cg23149053	0.728867807917682	MMP17	12	132312205
cg23150219	0.0151534333929296	C19orf26	19	1237619
cg23150609	0.00863476874790108	YARS;S100PBP	1	33283992
cg23152667	0.140388792418246	TBCA	5	77072348
cg23152755	0.403286190478509	NA	NA	0
cg23152772	0.192113867060501	FIBCD1	9	133813632
cg23154002	0.0172260692419706	PATZ1	22	31741741
cg23154064	NA	C3orf63	3	56699146
cg23154272	0.804720437359699	LENEP	1	154966068
cg23158022	NA	C19orf44;CALR3	19	16605905
cg23158811	0.0189342879150383	PBX4	19	19729732
cg23159296	0.0112218907317725	SREBF1	17	17740009
cg23159337	0.0958249940277665	ATP13A4	3	193272778
cg23159857	0.0415630451746424	PSMC3	11	47447411
cg23162441	0.0245084302990383	STK35	20	2083850
cg23163471	0.00890262361408438	SVIL	10	30024328
cg23163573	0.606189848327522	SULT1C2	2	108905468
cg23163644	0.0602773116646731	TCEAL2	X	101381018
cg23164327	0.0273397434177849	TTC33	5	40755670
cg23165541	0.423145250871477	DAPK2	15	64338164
cg23166289	0.0316483315475877	C1orf107	1	210001082
cg23166362	0.0211818531322854	NA	NA	0
cg23172864	0.0104190699121687	GOPC	6	117923272
cg23173032	0.0133277060482881	ARF6	14	50359789
cg23173455	0.439129559435662	NA	NA	0
cg23173910	0.891263293604153	ACTG2	2	74120274
cg23174481	NA	C19orf45	19	7562555
cg23175281	0.00990553829482563	ACTB	7	5569860
cg23178308	NA	PDXK	21	45148879
cg23179168	0.0174808991522667	FAM84B	8	127570165
cg23179321	0.0152584263005585	C10orf111;RPP38	10	15138793
cg23180270	0.676917819569308	RNF113A;NDUFA1	X	119006837
cg23180365	0.0127290387184285	GLB1;TMPPE	3	33138627
cg23180489	NA	LYNX1	8	143859786
cg23181133	0.765683715156216	CEACAM3	19	42300812
cg23181138	0.0101965652466004	AGTPBP1	9	88356705
cg23181170	0.817383342165082	GABRP	5	170210672
cg23181434	0.230509475990478	NA	NA	0
cg23182299	0.0405643980562369	NA	NA	0
cg23182539	0.0145246375484542	TIAL1	10	121355708
cg23183296	0.595837896898693	NA	NA	0
cg23185262	NA	PDXK	21	45137544
cg23185402	0.013410320824877	PHKB;ITFG1	16	47495113
cg23185657	0.0191954220798948	TIMM10	11	57298081
cg23186643	0.0119395483239324	NPB	17	79860360
cg23187653	0.430280698156557	PCSK1	5	95769008
cg23188547	0.0420543880225956	CDC6	17	38443714
cg23189044	0.273346689851327	KCNE3	11	74178114
cg23190203	0.0106175634552383	PDZD7;SFXN3	10	102791082
cg23191772	0.0218070937514791	IDH3B	20	2644649
cg23191950	0.698787070917532	ALDH1A3	15	101419074
cg23192899	NA	CCDC104	2	55746287
cg23196133	0.0104839053636785	ZBTB4;POLR2A	17	7388063
cg23196557	0.635859546360654	NA	NA	0
cg23196831	0.108147713962408	COL14A1	8	121137537
cg23197881	0.0171798613679386	RAB3IP	12	70133421
cg23202277	NA	MAPT;LOC100128977;LOC100130148	17	43971911
cg23202409	0.00971349212002258	C11orf83;C11orf48	11	62439262
cg23205183	0.779787980219707	C3AR1	12	8216109
cg23205633	0.763620336832591	NA	NA	0
cg23207527	0.896151116002595	RBM24	6	17283113
cg23207616	0.0128791732678971	RER1;MORN1	1	2322827
cg23207985	0.0301341825046056	ADRBK1	11	67034251
cg23207990	0.568078075897388	SFRP2	4	154710535
cg23208152	0.0262759641335925	ZMYND10	3	50383134
cg23208881	0.443291264102636	FURIN	15	91411495
cg23211240	0.109629558220237	MIR34B;BTG4;MIR34C	11	111383624
cg23213170	0.0122622092742827	FKTN	9	108320507
cg23213217	0.0912070074670696	DEGS1	1	224370155
cg23213688	0.0260435852658212	C1orf124;EXOC8	1	231473791
cg23214267	0.0379999695339822	EYA2	20	45523137
cg23214764	0.0896182793513347	PRSS23	11	86511210
cg23216015	0.170328836672666	C7orf16	7	31726654
cg23216184	0.0330167246743482	DGCR8	22	20068322
cg23217005	0.0311529852463137	MT1F	16	56691744
cg23218877	0.836816547867451	CCNY	10	35536010
