Hybridization REF	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05
cg21142158	0.0380253680988982	COG6	13	40229689
cg21142188	0.314817457282244	ATP7A	X	77166294
cg21142272	0.665165415414891	EXOC3L	16	67224341
cg21142398	0.823965015884232	GLIS1	1	54200078
cg21144270	NA	STK25	2	242448675
cg21144587	0.0179164150267358	GPN1;CCDC121	2	27851409
cg21145624	0.0219508910892127	MEIS3	19	47922899
cg21146268	0.12935817971268	HIST1H2BE	6	26183508
cg21148892	0.801930805264463	CLEC4F	2	71047649
cg21151355	NA	GJB3	1	35246607
cg21152662	NA	TEC	4	48231543
cg21152671	0.173594811755785	TRAF1	9	123690586
cg21153758	0.110050719467249	ITGA1;PELO	5	52083992
cg21154823	0.00847649919508317	FAM160B2	8	21947302
cg21161070	0.151793602195458	RACGAP1	12	50419399
cg21161651	0.0116182350969702	C11orf83;C11orf48	11	62439250
cg21162961	0.425822411308376	NA	NA	0
cg21163415	0.379546144293404	EDN3	20	57876201
cg21164303	0.0108151603059539	TMED3	15	79603277
cg21165219	0.443444788279083	FAM38B	18	10698044
cg21165909	NA	CPS1	2	211419938
cg21166555	0.0307970890261411	NA	NA	0
cg21166999	0.464661973711778	ROS1	6	117746793
cg21167159	0.866265961206973	H19;MIR675	11	2018154
cg21168622	0.187050453473936	ZNF350	19	52489831
cg21168884	0.844474261809957	C6orf122;C6orf208	6	170198971
cg21169285	0.902916536177991	MAPK9	5	179707665
cg21171130	0.024048900078523	FAM158A	14	24610583
cg21171373	0.0141898302915211	WDR5B	3	122134914
cg21171615	0.770506550762462	NA	NA	0
cg21172540	0.0119825114770023	LOC100128071;TSSK3	1	32827840
cg21173623	0.05380473549642	TMEM141	9	139685156
cg21176048	0.0197770549424536	PEX5L	3	179755235
cg21177096	0.0178261664824545	MATN3	2	20212440
cg21178548	0.0992006550978357	SAMD14	17	48207167
cg21179457	0.0180813443211037	INSM2	14	36002798
cg21180599	0.087369255953162	TLE6	19	2976789
cg21182322	0.0143019103820183	POU2F1	1	167189623
cg21182407	0.066482810347666	BPHL	6	3119541
cg21182454	0.0106703648115916	MERTK	2	112656262
cg21183846	0.037012941263789	FMO4	1	171283203
cg21183872	0.357328392658085	LONRF3	X	118108506
cg21184011	NA	ZC3H18	16	88636102
cg21184174	0.21193370404362	NGF	1	115881214
cg21184495	0.0532163652045088	ZNF207;MIR632	17	30677090
cg21185421	0.00983897524687253	PIP5K1B;FAM122A	9	71394810
cg21187265	0.0501561162762457	SEPN1	1	26127185
cg21194776	0.707270381361708	USP54	10	75314128
cg21195120	0.129346340819979	MBTPS2	X	21858304
cg21195414	0.0706445867412946	ELOVL5	6	53213871
cg21196187	0.0289290703289044	PSKH1	16	67926862
cg21197871	0.192181650884557	C8orf38	8	96036803
cg21197973	0.0196200901831823	P4HTM	3	49027347
cg21198021	0.729072488545956	PHC2	1	33841581
cg21200380	0.0627748364566099	C1QBP	17	5342446
cg21200703	0.204881780275413	SLC34A2	4	25657628
cg21201109	NA	KANK2	19	11307090
cg21201572	0.35078789792693	AGR2	7	16844606
cg21201659	0.0474260619434591	SEC23IP	10	121652288
cg21203420	0.0142368279680229	BRWD1	21	40684731
cg21206959	0.0312149391366278	ZWINT	10	58120759
cg21207418	0.553361384622724	ACP5	19	11688711
cg21207436	0.659910185468932	C14orf115	14	74815316
cg21208104	0.0495211663801334	PRSS12	4	119273361
cg21209091	0.237643908868621	DKK4	8	42234975
cg21209356	0.861092680204486	CSF2RB	22	37319042
cg21210758	0.0858259591924815	EVC	4	5713005
cg21210789	0.119654742700235	BAI1	8	143545390
cg21211608	0.0139238614934998	RAP1B	12	69004270
cg21211748	0.031125885300813	E2F2	1	23858035
cg21212066	0.0422827990263977	GLG1	16	74640816
cg21212956	0.0186400174899875	ZDHHC4	7	6617294
cg21215336	0.0763960865207146	LRRC8E	19	7953705
cg21218093	0.0398030242861326	ZNF335	20	44600160
cg21218636	0.0100593095964153	PCTP	17	53828515
cg21219744	0.0174727563534016	GUF1	4	44680344
cg21222430	0.0172713246138737	CDKN1A	6	36647664
cg21223353	0.91806080023248	ANGPTL7;MTOR	1	11249539
cg21223368	0.0189381204015995	IDH3A	15	78441812
cg21224049	0.0452353482298238	ATP5I	4	668623
cg21224759	0.345351208755033	PIN4	X	71401335
cg21226224	0.409717156863409	NA	NA	0
cg21226225	0.13526127918602	TXNRD1	12	104680742
cg21226234	0.881871022833836	RECQL4;LRRC14	8	145741991
cg21226861	0.0138656985380758	COMMD3	10	22605339
cg21228284	0.0252238435198962	TXNL4B;DHX38	16	72127518
cg21229055	0.161485877145906	GPM6B	X	13957233
cg21229859	0.0308180582677238	MYEF2	15	48469952
cg21230133	0.790902295563921	NA	NA	0
cg21230392	0.77675133163829	PROM1	4	16077697
cg21230435	0.949063476963983	OPN1SW	7	128416023
cg21232015	0.796090327663651	CHFR	12	133424221
cg21232685	0.658389462506045	GPRASP1	X	101909064
cg21233722	0.397942640019994	DOCK2	5	169064660
cg21235838	0.00995215459479788	SORBS1	10	97321106
cg21237418	0.195356970609371	RAB34	17	27045043
cg21237591	0.109472091661854	IGF2AS;INS-IGF2;IGF2	11	2162510
cg21238457	0.111520059312069	WNT11	11	75917353
cg21238818	0.52574184030507	GAL3ST3	11	65816642
cg21240812	NA	TSNARE1	8	143483748
cg21241823	0.101052559086003	PRDM15	21	43300024
cg21242004	0.702587808418824	VTI1A;ZDHHC6	10	114205622
cg21243096	0.127406142086943	NA	NA	0
cg21243909	0.0132123674291063	RCC2	1	17766223
cg21244397	NA	MASTL	10	27444898
cg21244955	0.888574401399601	PI4KA	22	21192955
cg21245135	0.0438159470360105	PGAM1	10	99186516
cg21245372	0.0804356207611395	PGAP2;NUP98	11	3819539
cg21245652	0.473290307564941	MAL	2	95691051
cg21246431	0.0130795692590571	GK5	3	141944516
cg21246783	0.0171669455252127	CLGN	4	141348699
cg21248478	0.128771314376487	CLIC2	X	154563968
cg21248774	0.0443896801907815	SFPQ	1	35658951
cg21250296	0.0229991477581499	HIST1H2BB;HIST1H3C	6	26044405
cg21250577	0.0163313246737326	ETFA	15	76603657
cg21250978	0.305580135934343	PRKAR2B	7	106684541
cg21252483	0.719870565998067	TULP2	19	49399788
cg21255605	0.0876982758863987	NR2C2	3	14989131
cg21255626	0.00713851256577029	UQCRFS1	19	29704222
cg21255732	0.02405599447616	GPD1L	3	32148497
cg21256649	0.0437354521039832	PRKAR1A	17	66507610
cg21256656	0.809608962514952	KLK6	19	51473823
cg21257635	0.0299139231394746	SYF2	1	25558918
cg21258987	0.277434484050494	GSPT2	X	51485834
cg21259253	0.0329825317449384	PHLDA2	11	2950092
cg21260850	0.0174798803301103	CANT1	17	77005823
cg21261477	0.0180784341720373	CABC1	1	227127707
cg21262854	0.0264214269327397	CCDC132	7	92861612
cg21263122	0.0833639729117579	SSTR1	14	38677095
cg21263196	0.129974804834335	BCAM	19	45311997
cg21264055	0.0522913786938401	GNL1;PRR3	6	30523242
cg21264207	0.0568142325779366	EGR2	10	64576130
cg21264329	0.0336881304237847	LYRM2	6	90348123
cg21265783	0.0158556938460066	CLIP2	7	73704324
cg21269897	0.270707501433252	HIST1H2BK;HIST1H4I	6	27107002
cg21269934	0.148523758665326	NAT8L	4	2060219
cg21270015	0.873129513388869	LARP7	4	113567813
cg21270593	0.978512307518619	PEG10	7	94293250
cg21271753	0.416466457560448	TMPRSS6	22	37499451
cg21272774	0.0348998633025222	HOXC9	12	54393725
cg21273029	0.0173165737117513	UST	6	149068556
cg21273098	0.0237996651554701	SMPD2;PPIL6	6	109762418
cg21273125	0.153807154518938	ABHD2	15	89631790
cg21274025	0.483032894252441	PLA2G3	22	31535981
cg21274570	0.897870954754347	CCL25	19	8117671
cg21275690	0.324728102068253	HCFC1R1;THOC6	16	3072970
cg21277505	0.937919648062481	C19orf63;FAM71E1	19	50978348
cg21279601	0.558178494166191	DRD5	4	9782931
cg21279865	0.638904808870555	FAM106A	17	18430908
cg21279955	0.165447011989343	SLC27A3	1	153747551
cg21280384	0.0294555809939244	RPF1	1	84945307
cg21280510	0.537937359113224	NT5C1A	1	40137089
cg21281001	0.0103456466516049	CTSB	8	11725306
cg21281799	0.744739053005193	DYRK2	12	68041322
cg21282997	0.508439007067906	IL18RAP	2	103035835
cg21283680	NA	SH3BP5	3	15384005
cg21284636	0.129230523669894	PIN4	X	71401009
cg21284731	0.618351792662752	NA	NA	0
cg21284880	0.0472018507960918	LHFP	13	40177740
cg21287330	0.0210194211223329	C17orf81;DULLARD	17	7154245
cg21288099	0.0124771835147589	RRAS2	11	14380330
cg21289015	0.0433934578746607	USH1C	11	17566048
cg21289924	0.00613111649899818	EIF3A	10	120839943
cg21290885	0.196689294790076	TMEM47	X	34675855
cg21291896	0.0734700525411253	SLC6A6	3	14444133
cg21291985	NA	ZBTB46	20	62437035
cg21295467	0.0375564040975609	VWA5A	11	123986166
cg21295602	0.167404095862944	NA	NA	0
cg21295911	0.0173277681432118	NA	NA	0
cg21296230	0.132047502085093	GREM1	15	33010536
cg21296602	NA	TAF1D;C11orf54	11	93476060
cg21296676	0.703410413295779	EYA4	6	133561660
cg21298523	0.0227509870578285	NUDT9	4	88343936
cg21299958	0.093116142497717	ITM2C	2	231729329
cg21300318	0.202660088503955	MIR7-3;C19orf30	19	4769206
cg21300561	0.0193157472668045	TUBA1B	12	49525534
cg21301148	0.495246657123308	MYH6	14	23878195
cg21301440	0.486896063430942	CYGB	17	74534550
cg21302727	NA	TACC2	10	123748647
cg21303011	0.061547238326706	THRB	3	24537177
cg21303386	0.146464194009265	RGS7	1	241520311
cg21304187	0.0365222447994768	CCPG1	15	55700471
cg21305265	0.152535882112412	KCTD9;CDCA2	8	25316571
cg21306212	0.0535036538693741	RBM26	13	79979929
cg21306218	0.0121499551241872	ZNF276;C16orf7	16	89787478
cg21306775	0.527568857017144		18	74402010
cg21307628	0.906512777442292	CCDC80	3	112360952
cg21307697	0.0172060609557608	EXOSC7;ZDHHC3	3	45017012
cg21309049	0.0322963550778687	STK17A	7	43623222
cg21309147	0.0294725823432749	STAC2	17	37382234
cg21311175	0.0475666405863553	HIRA	22	19418307
cg21312090	NA	TRPS1	8	116681727
cg21312148	0.327339781291722	LCE2D	1	152636074
cg21319693	0.0151302163278352	PRDX1	1	45987459
cg21319745	0.0560815875365266	UTP11L	1	38478440
cg21321735	NA	KIF1A	2	241760164
cg21321885	0.00781682217631084	NDE1	16	15744194
cg21322149	0.0128850570142692	SENP7	3	101232006
cg21324308	0.805282385194522	PROK1	1	110993852
cg21325760	NA	MAGEL2	15	23891402
cg21329628	0.0816254882140475	CD320	19	8373296
cg21330703	0.308290629196199	DRD2	11	113346388
cg21331335	0.967007824978836	KCNV2	9	2717325
cg21331821	0.033529821336168	ZSCAN1	19	58545149
cg21332946	0.0129914048671485	LIX1L	1	145476871
cg21333964	0.0269827454811612	HMBS	11	118955461
cg21335556	NA	MFSD6L	17	8703341
cg21335942	0.0114955070771561	SETD6	16	58549945
cg21336547	0.0183224851364358	AKAP8	19	15490553
cg21337430	0.0174691076938006	OSGEP;APEX1	14	20923471
cg21339926	0.0350390853227503	CLMN	14	95786621
cg21341271	0.0167178595446223	C7orf36	7	39605683
cg21341807	0.0157915448814732	RABL4	22	37172566
cg21342728	0.553010375024524	MCHR1	22	41075673
cg21347412	NA	STAP2	19	4339217
cg21348691	0.0181252803594834	DUS2L;DDX28	16	68057212
cg21349901	NA		7	4630518
cg21350115	0.316049890871907	CALCRL	2	188312833
cg21350283	0.0154463332321706	ACTN1	14	69445743
cg21351102	0.0186685977142431	MYL12A	18	3247294
cg21351994	0.0497989992209065	EMX1	2	73145006
cg21353232	NA	SEZ6L	22	26564879
cg21355508	NA	NDUFB11;RBM10	X	47003362
cg21358381	0.937498013111541	PPY	17	42019637
cg21359747	0.0676493538518901	ALDH1A3	15	101420636
cg21360828	0.0682194214785696	CENPA	2	27008380
cg21361470	0.072587190728312	MRAP2	6	84743033
cg21363706	NA	NAT1	8	18066485
cg21363943	0.014227988136446	SF3B4	1	149899654
cg21364150	0.0316964763115916	DUSP19	2	183943551
cg21365235	0.563521171977236	OCRL	X	128674765
cg21365602	0.0470690408386318	GBP4	1	89664407
cg21366535	0.101647849446677	RSPH3	6	159421281
cg21366834	0.911035316550714	CCR4	3	32992158
cg21367040	0.010531824163849	TMEM50A	1	25664857
cg21367957	0.787153459745575	F10	13	113776252
cg21368354	0.0264152244266703	CARKD	13	111267856
cg21369679	0.0129373587890685	DNAJA2	16	47007757
cg21369988	0.0143760251903087	CAPRIN2	12	30907191
cg21370143	0.924806421540201	MYBPC3	11	47374208
cg21371335	0.0532958632810168	DNAJC7;NKIRAS2	17	40170049
cg21372397	0.0104854778226454	NA	NA	0
cg21372914	0.533853381946791	CLEC4M	19	7828144
cg21373526	0.0429872042959688	RAB30	11	82782794
cg21374864	0.195541990989058	TOR1A	9	132586569
cg21375825	0.919631134099217	LCT	2	136594646
cg21376883	0.090215621735783	ACTN2	1	236850232
cg21377793	NA	TSPAN3	15	77364519
cg21378047	0.0257544144610514	H1FX;C3orf47	3	129034659
cg21378206	0.957819223562381	IL1F5	2	113817043
cg21379008	0.0380609568356609	ATP8B2;AQP10	1	154297555
cg21379309	0.0159584678107931	C14orf147	14	34931822
cg21379816	0.0128068859136011	SRM	1	11119628
cg21380294	0.0383239399786583	ZSCAN2	15	85144807
cg21380842	0.0162391255278024	KCNJ6	21	39288830
cg21383720	0.0105907315087534	FAM120AOS;FAM120A	9	96214543
cg21387281	NA	OGFR	20	61435439
cg21387302	0.0427800587472616	RFX3	9	3526198
cg21388029	0.0176875845500058	CREG2	2	102003306
cg21389013	0.0170056316037658	PPM1G	2	27632056
cg21389884	0.00949975372283788	PVRL1	11	119599425
cg21391660	0.0491943803449583	LLGL2	17	73522123
cg21395782	0.0644982745660264	NDUFA13;TSSK6	19	19626814
cg21395967	0.261811162528029	TBC1D8B	X	106046174
cg21396405	0.00692232842081688	NA	NA	0
cg21399079	0.938888936185253	GPR45	2	105858139
cg21399198	0.0235072055526786	ARMC10;FBXL13	7	102715131
cg21400640	0.422312728295096	TMSL3;TMSB4X	X	12992967
cg21400896	0.616709867278286	ABI3	17	47288569
cg21401794	0.0199363680087197	LRRC8C	1	90099060
cg21402035	0.695130409115559	GALR3	22	38219400
cg21402071	0.117616389572052	CHRNB4	15	78933902
cg21404906	0.050518623110546	XRCC5	2	216973839
cg21405195	0.66703565377799	PEG10	7	94293385
cg21406461	0.133307451423169	IFI16	1	158978957
cg21407055	0.838764670757519	ART1	11	3666483
cg21407839	0.0130942832758922	DYRK1A	21	38739091
cg21409722	0.0700237310535084	AKAP1	17	55162050
cg21409833	0.837455966490316	DOCK7;ANGPTL3	1	63062724
cg21410991	0.12135752986826	ISL1	5	50678451
cg21412748	0.0205514113674422	FCHSD2	11	72852496
cg21413009	NA	DAPK2	15	64338947
cg21413251	0.0283481616164622	PIP5K1B	9	71320693
cg21414251	0.200379865441948	OR12D2	6	29364554
cg21415080	0.51662426761214	NA	NA	0
cg21415604	0.943146677992605	C4B;STK19;C4A	6	31948433
cg21415698	0.0307225948243652	EXPH5	11	108464417
cg21416022	0.0590745580748657	TTC23	15	99789661
cg21416237	0.81853549201727	FKBP10	17	39970091
cg21416602	0.0105311998620658	FAM149B1;ECD	10	74927745
cg21418052	0.276177388636992	B3GALTL	13	31773806
cg21418076	NA	LTB4R2;CIDEB	14	24777878
cg21419475	0.0142580321095913	EIF2B1;GTF2H3	12	124118052
cg21420531	0.0677079778096899	SLC5A6;C2orf28	2	27435915
cg21421501	0.0362121506164052	FTH1	11	61734205
cg21421701	0.0119331093106721	BATF3	1	212872679
cg21422208	0.0455728024961647	RFT1	3	53164667
cg21422622	0.0384589793701771	SGSM3	22	40766525
cg21424904	0.0229982062423903	GRK6	5	176853466
cg21426387	0.0127618901244518	SNN	16	11762806
cg21428681	0.114333832980318	NKX3-1	8	23540856
cg21429500	0.0303458201717383	LAP3	4	17579272
cg21430666	0.983836378759524	HIST3H3	1	228613073
cg21431091	0.0266891729704056	TMEM9	1	201124025
cg21431536	0.546780576415733	NA	NA	0
cg21432513	0.972194766329509	CHFR	12	133435770
cg21432842	0.493982007580564	CSF3	17	38171697
cg21432954	0.0332355995401771	TRPC4	13	38443809
cg21433933	NA	SHROOM1	5	132163083
cg21434440	0.0194132794027078	CD2AP	6	47446198
cg21434954	NA	LCE1B	1	152783137
cg21435336	0.0168329530668692	ANKLE1	19	17392852
cg21435394	0.0962656795923333	NUDT14	14	105648024
cg21438018	0.846764551434571	MSH4	1	76262537
cg21439450	0.00967328038485379	POLR2C	16	57496664
cg21440587	0.144507731840316	AIF1	6	31583458
cg21443261	0.0255725419665615	TRIM35;PTK2B	8	27169256
cg21443584	0.0227708777081833	MBIP	14	36789985
cg21448423	NA	ACOT11	1	55013956
cg21449655	0.118849692862684	CASP9	1	15851444
cg21449843	NA	MANBAL	20	35918440
cg21450627	NA	PSD4;LOC440839	2	113930840
cg21451553	0.162902516629808	NOVA2	19	46476046
cg21452443	0.0252257041348898	NMT1;DCAKD	17	43138359
cg21452766	0.319100180261632	CTH	1	70877088
cg21453309	0.363792382507329	FAM101A	12	124774055
cg21453677	0.147940892113121	NA	NA	0
cg21457147	0.877483545242806	GTF2F2;KCTD4	13	45768695
cg21457804	0.442571795600534	NA	NA	0
cg21458041	0.724181202026666	TNP2	16	11364014
cg21458116	0.0207112944851976	GGA1	22	38004573
cg21458907	0.0227274789888379	CADPS	3	62860802
cg21459710	0.0387203830838259	CDC37	19	10514006
cg21459867	0.553687363089943	IDUA;SLC26A1	4	981492
cg21459921	0.0360996197720578	ADRM1	20	60878267
cg21460081	0.147832301686775	HOXB4	17	46656012
cg21460582	NA	CSPG4	15	76005861
cg21461100	0.0285773829463245	NOVA2	19	46477338
cg21462299	0.613233475887846	VGLL1	X	135614052
cg21463023	0.0233808585509758	SEC22C	3	42623862
cg21465754	0.0258044095476855	RAD51	15	40986872
cg21466821	0.74094820845144	HIPK4	19	40896173
cg21468416	0.127831817357468	NEK6	9	127019914
cg21472099	0.0146918010157937	SYAP1	X	16737680
cg21472642	0.59786617041627	CHN2	7	29233468
cg21474838	0.844801489883036	KLRD1	12	10460612
cg21475255	0.0311580829532544	DAG1	3	49507186
cg21475402	0.0573193604465502	BCAN	1	156612140
cg21476940	0.147317259832068	ITLN1	1	160854954
cg21478222	0.0284812042402131	ELK4	1	205601572
cg21478437	0.942611545967847	CTSE	1	206317403
cg21478490	0.694522018151219	PROP1	5	177422991
cg21480743	0.132400422540841	KILLIN	10	89621419
cg21481775	0.1149269878827	NKX3-1	8	23539627
cg21484834	0.55451383230814	PTK6	20	62168579
cg21484964	0.839373597943579	PGBD4;C15orf24	15	34395546
cg21486659	0.0202777677691175	TMEM14B	6	10747693
cg21486954	0.0220100722194613	RUNDC3A	17	42385289
cg21487067	0.0200215361253286	MLEC	12	121124407
cg21487207	0.0336962126244509	HOXC4;HOXC6;HOXC5	12	54410576
cg21488617	0.612564031002032	DNALI1	1	38022586
cg21489722	0.678631983751939	FAM9B	X	9001881
cg21489873	0.889607586724897	C9orf45	9	125877134
cg21491028	0.0341416373644088	PSMD3	17	38136817
cg21491308	NA	TEX101	19	43892826
cg21492378	0.8200241323045	CEP110	9	123850279
cg21493583	0.068179270195521	PIGF;CRIPT	2	46842958
cg21493666	0.126406883592528	PPME1;C2CD3	11	73882478
cg21494337	0.0442857270215313	CENPO;C2orf79	2	25015597
cg21494776	0.380842518059634	ICAM4	19	10397780
cg21495715	0.664363496446827	SLC5A10	17	18854560
cg21497439	0.816828426549951	HAPLN4	19	19373998
cg21500966	0.0342522218094118	NAALAD2	11	89867976
cg21501064	0.304706191433359	SEPT6	X	118827889
cg21503093	0.00980504876376045	EMP2	16	10674468
cg21504624	0.434247069702602	IL11RA	9	34653580
cg21504918	0.0757175271470285	GPX3	5	150400001
cg21505334	0.851635761837919	CEACAM5	19	42213020
cg21505886	0.539869345505932	TMEM129;TACC3	4	1724428
cg21508214	0.008835326334196	SMC4;IFT80	3	160118610
cg21509023	0.0418237034105614	NA	NA	0
cg21509097	0.164552352977635	PLA2G15	16	68279613
cg21509846	0.370580059935776	BEX1	X	102319368
cg21510697	0.0168154373187974	USP31	16	23161157
cg21511069	0.0155887721252072	UBAP2	9	34049294
cg21512370	NA	LPAR6;RB1	13	48990327
cg21513385	0.0936935276601215	SMAGP	12	51663484
cg21513553	0.0325053167790919	NA	NA	0
cg21514871	0.322332787765079	MEFV	16	3307814
cg21515243	0.0498952774599811	RIOK3	18	21033072
cg21515329	NA	RIBC1;SMC1A	X	53450923
cg21515744	NA	GUK1	1	228327456
cg21516287	NA	ACTR3C;LRRC61	7	150020855
cg21516384	0.0261916622519681	RNF213	17	78233839
cg21516478	0.040586143671924	GPX3	5	150400328
cg21516819	0.228218341751227	TSPAN7	X	38421078
cg21517055	0.129669993533454	C19orf57;CC2D1A	19	14016717
cg21518208	0.552413283381452	KRT85	12	52761416
cg21518938	0.0210353005436604	RBBP8	18	20513051
cg21518947	0.601019558498476	CABP4	11	67222648
cg21519900	NA	C20orf186	20	31670612
cg21521452	0.188581575399316	NA	NA	0
cg21522303	0.0396463572059205	ST6GALNAC2	17	74581331
cg21522797	NA		16	81806083
cg21522988	0.840414868086212	FAR2	12	29376872
cg21523528	0.0156357843488458	CBFA2T2	20	32077966
cg21526212	0.0371830836151065	PTCH1	9	98271631
cg21529533	0.247348262188492	HLA-G	6	29796015
cg21529807	0.12745247806717	CEACAM4	19	42134478
cg21530453	0.0244501329539855	LOC283856;GNAO1	16	56226346
cg21530890	0.0486738607186496	SOX8	16	1032260
cg21533271	0.243662008599236	NA	NA	0
cg21533958	0.909298907772025	GPR124	8	37653377
cg21537939	NA	SEPT10;ANKRD57	2	110373161
cg21538194	0.033047598006004	DZIP1L	3	137834582
cg21539243	0.0244327923593861	PHTF1	1	114301432
cg21540749	0.0286955447127763	MOCS2	5	52405349
cg21541083	0.870912127286966	STXBP2	19	7701212
cg21542094	0.0481119751362128	PFKFB3	10	6243955
cg21542793	0.50261184908368	ADRA2B	2	96781891
cg21544377	0.0106889772364151	MIRLET7I;C12orf61	12	62997103
cg21545849	0.00968707414983746	CHD6	20	40247209
cg21546057	0.076607100883917	FIBP	11	65656326
cg21546671	0.0298100348444046	HOXB4	17	46655387
cg21547708	0.0384896537542277	SSTR2	17	71161160
cg21547976	0.0236616736901401	STK11	19	1206451
cg21548414	0.00984026836876317	CLIC5	6	45983585
cg21548788	0.011436431347245	CCNI	4	77997565
cg21549639	0.0591902572069599	TOMM40	19	45394156
cg21549904	0.0107864051422652	GALNT7	4	174090558
cg21550442	0.414477846265776	C19orf46	19	36499839
cg21550483	0.524496477051635	CLEC10A	17	6984106
cg21552947	0.0265746082732203	MED16	19	893353
cg21553524	0.00605954249874939	TMEM178	2	39893185
cg21553596	NA	FAM3B	21	42688635
cg21554249	0.0687129051584446	SUOX	12	56390073
cg21554552	0.2171402730753	RASSF1	3	50378425
cg21557231	0.535476055449903	MCF2	X	138725077
cg21559783	0.0393843327859967	C9orf163;SEC16A	9	139378129
cg21561142	0.0367752554434007	DEK	6	18265208
cg21561173	0.35895644251251	NA	NA	0
cg21565972	0.899737184958645	CCDC57	17	80109576
cg21566550	0.0177745335395474	BMPR2	2	203240691
cg21567017	0.752321692087507	CXorf58;APOO	X	23927284
cg21567332	NA	HCCA2	11	1501640
cg21570220	0.190340265831154	SLC11A2	12	51419900
cg21570468	0.0129309555106025	RBL1	20	35724588
cg21570818	NA	FUT5	19	5870366
cg21571665	0.0294588506149259	ZNF410	14	74353524
cg21571937	0.0303329513341339	FZD2	17	42634416
cg21572316	0.0287597521327496	ABCA1	9	107690018
cg21572897	0.721691597357607	CD80	3	119277821
cg21572997	0.0184194086415439	LRP5	11	68080756
cg21573601	0.0148489280502954	PTEN;KILLIN	10	89622589
cg21574400	0.0664352928922527	LIPG	18	47088309
cg21574752	0.0142215083854503	TSGA13;COPG2	7	130354027
cg21575929	0.956693713124697	ADRA1B	5	159344281
cg21576698	0.0720889778137103	LRRC41;UQCRH	1	46767971
cg21577049	0.319776999461956	WDR69	2	228736449
cg21578207	0.499127486712566	RNF220	1	44870088
cg21578541	0.583850707091084	TLR9	3	52260090
cg21578906	0.909781992972044	SLC5A4	22	32651345
cg21581873	0.427192390814195	PLEKHA6	1	204329307
cg21584430	0.72802135416315	C22orf45;ADORA2A	22	24829462
cg21584983	0.0136522056151392	ECSIT	19	11640070
cg21586107	0.0130294893093427	TMSB10	2	85132797
cg21587861	0.0279401787588276	BICD1	12	32260103
cg21588305	0.845220708143021	BLCAP;NNAT	20	36149455
cg21589115	0.106182185823605	DKKL1;TEAD2	19	49867114
cg21589280	0.166696067448825	DDAH1	1	85930151
cg21591452	0.93644855584932	TMEM105	17	79304628
cg21591742	0.355882373195588	HOXD10	2	176980998
cg21595737	0.0558857960287875	GMFB	14	54955895
cg21596317	0.0405028130963065	PAM	5	102201545
cg21596858	0.437633797229513	DCST1;DCST2	1	155007254
cg21597649	0.0643935802081224	TMEM106B	7	12251342
cg21599792	0.0546748570653271	FZD4	11	86666851
cg21600563	0.0741121013746529	FBXO33	14	39901846
cg21601405	0.568100931476707	CD40	20	44747006
cg21602160	0.314222103928375	AOC3	17	41003272
cg21602520	0.350523023350011	BCL2	18	60985380
cg21604042	0.133144240210601	SCUBE3	6	35181401
cg21604615	NA	SYTL1	1	27668610
cg21604803	0.0398144670257413	CPT1C	19	50194662
cg21604856	0.316002467247153	ZNF280A	22	22874677
cg21605986	0.231151657622282	KIAA1191	5	175788725
cg21606237	0.0248371595191985	STX17	9	102668725
cg21607066	0.0149692741952037	PHIP	6	79787807
cg21607649	0.267778260851699		10	134884177
cg21608116	NA	SUGT1P1;NFX1	9	33290203
cg21608192	0.0219334286736636	XYLT1	16	17563827
cg21608489	0.0554008111071548	POU2F2	19	42637137
cg21609430	0.0180104330132286	ESYT1	12	56522453
cg21610192	0.0239596467578789	DYNC1LI2	16	66784977
cg21610516	0.114167842108613	MTHFD1L	6	151186758
cg21611708	0.880473124754056	TGM3	20	2277040
cg21612046	0.0236357582895626		19	58071269
cg21613754	0.718176754611217	AAMP;PNKD	2	219133847
cg21614231	0.887551369281002	SUGT1P1;BAG1;CHMP5	9	33266196
cg21614638	0.145508340360432	DAPP1	4	100737821
cg21615127	NA	TMCO4	1	20126875
cg21615171	0.951103857747767	SLC22A13	3	38307564
cg21615663	0.559022715462979	IQCK;C16orf88	16	19727911
cg21616088	0.0954468173692514	FBXL4	6	99396064
cg21618439	NA	CORO2A	9	100954694
cg21618713	0.0763841116057515	ARFIP1;TIGD4	4	153701330
cg21621114	0.433139863163697	CRX	19	48325360
cg21621204	0.859348174860147	HTN1	4	70916719
cg21621248	0.0632280978031652	CTNNA2;LRRTM1	2	80531842
cg21623671	0.0281330870904944	ANXA6	5	150536851
cg21624282	0.644720407620825	C13orf28	13	113030783
cg21624359	0.647507230726604	FFAR3	19	35848801
cg21624883	0.0154932910204291	IPPK	9	95432804
cg21625881	0.661329084363442	GNAS	20	57430313
cg21626086	0.841202202009319	C6orf81;LOC285847	6	35704928
cg21627181	NA	SLC17A4	6	25754190
cg21628553	0.732968893591178	NPBWR2	20	62738197
cg21629895	0.69117291671889	DNMT3A	2	25565795
cg21631409	NA	ALDH3B2	11	67449882
cg21631754	0.959621354283177	EXOC3L2	19	45737485
cg21633208	0.0130135504971104	SH2B3	12	111843286
cg21633698	0.79474434763981	NA	NA	0
cg21634602	0.0189237337264205	APC	5	112073570
